epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3592.84,0.84851,1.51896,0.89288,0.74842,0.58373,0.6767,0.49975,1.46665,1.5082,0.84134,0.000555053,0.000555053,0.000555053
2,7026.72,0.85666,0.77264,0.88567,0.67692,0.62325,0.62633,0.45953,1.40817,1.91741,0.83434,0.00107407,0.00107407,0.00107407
3,10486.2,0.83422,0.67649,0.87906,0.73799,0.67128,0.71244,0.53615,1.23797,1.12566,0.82703,0.0015564,0.0015564,0.0015564
4,13795.4,0.7956,0.62277,0.87224,0.78818,0.67663,0.75083,0.57505,1.16254,0.78526,0.81452,0.00150197,0.00150197,0.00150197
5,17044.1,0.75731,0.56357,0.86006,0.49018,0.60892,0.46728,0.34969,1.33853,5.0863,0.85514,0.00144696,0.00144696,0.00144696
6,20293.7,0.72951,0.53886,0.85534,0.84165,0.71038,0.78709,0.62028,1.07857,0.62105,0.8027,0.00139195,0.00139195,0.00139195
7,23523.5,0.69165,0.49833,0.84919,0.87198,0.73106,0.80075,0.62944,1.03377,0.54347,0.80157,0.00133693,0.00133693,0.00133693
8,26752.2,0.68272,0.48536,0.84661,0.87616,0.73156,0.80335,0.63382,1.023,0.54819,0.80002,0.00128192,0.00128192,0.00128192
9,29951.9,0.67038,0.47063,0.84295,0.84229,0.6993,0.77939,0.62396,0.98858,0.86936,0.80162,0.00122691,0.00122691,0.00122691
10,33198.2,0.65089,0.45055,0.83793,0.87911,0.73574,0.80521,0.6497,0.94921,0.52636,0.79396,0.0011719,0.0011719,0.0011719
11,36432.1,0.64101,0.44044,0.83749,0.90358,0.73333,0.81485,0.65869,0.93529,0.48972,0.79327,0.00111689,0.00111689,0.00111689
12,39580.6,0.63592,0.43709,0.83569,0.88053,0.73911,0.8164,0.66353,0.92372,0.4988,0.79243,0.00106188,0.00106188,0.00106188
13,42344.1,0.62033,0.42695,0.83218,0.89587,0.75088,0.82628,0.67491,0.89746,0.46628,0.79081,0.00100687,0.00100687,0.00100687
14,45137.7,0.61166,0.4133,0.83094,0.89571,0.73371,0.82268,0.66995,0.89641,0.52909,0.79149,0.000951857,0.000951857,0.000951857
15,47939.9,0.60424,0.40781,0.83052,0.89319,0.74576,0.8323,0.67805,0.88335,0.48039,0.78963,0.000896846,0.000896846,0.000896846
16,50747.3,0.59352,0.39338,0.82904,0.89798,0.75182,0.83205,0.68585,0.85896,0.45668,0.78679,0.000841835,0.000841835,0.000841835
17,53565.6,0.57958,0.38159,0.82458,0.89303,0.74348,0.83251,0.68334,0.85942,0.49628,0.78791,0.000786824,0.000786824,0.000786824
18,56380.5,0.57964,0.37904,0.82685,0.89883,0.75594,0.83285,0.6896,0.84521,0.42917,0.78581,0.000731813,0.000731813,0.000731813
19,59187.3,0.56474,0.37064,0.82317,0.8967,0.75425,0.83509,0.69153,0.83767,0.43648,0.7856,0.000676802,0.000676802,0.000676802
20,61974.6,0.55862,0.36211,0.82309,0.89962,0.76396,0.8384,0.69502,0.828,0.42156,0.78481,0.000621791,0.000621791,0.000621791
21,64734.8,0.55898,0.34258,0.79855,0.90236,0.74846,0.83503,0.69165,0.83058,0.45358,0.78579,0.00056678,0.00056678,0.00056678
22,67503.7,0.54507,0.33456,0.79627,0.90674,0.76085,0.83616,0.69495,0.82533,0.41538,0.7852,0.000511769,0.000511769,0.000511769
23,70259.4,0.54367,0.33015,0.79516,0.90548,0.76137,0.83631,0.69875,0.81151,0.41128,0.78334,0.000456758,0.000456758,0.000456758
24,73069.3,0.53002,0.31846,0.79557,0.90641,0.75873,0.83964,0.70157,0.80124,0.40613,0.7832,0.000401747,0.000401747,0.000401747
25,75850.7,0.52538,0.3135,0.79348,0.90068,0.75841,0.83912,0.70087,0.79893,0.42045,0.78261,0.000346736,0.000346736,0.000346736
26,78611.6,0.51362,0.30541,0.79083,0.90777,0.7616,0.84266,0.70645,0.79503,0.4055,0.78213,0.000291725,0.000291725,0.000291725
27,81408.9,0.5094,0.29802,0.79076,0.90909,0.7665,0.84356,0.70936,0.78285,0.39141,0.78151,0.000236714,0.000236714,0.000236714
