epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1650.64,0.57767,1.11278,0.87898,0.9235,0.92531,0.9735,0.86847,0.44084,0.64718,0.83593,0.000664751,0.000664751,0.000664751
2,3357.94,0.55764,0.61053,0.87951,0.93316,0.91985,0.97313,0.87337,0.44508,0.46503,0.83026,0.00128748,0.00128748,0.00128748
3,5034.3,0.54081,0.51217,0.87725,0.91888,0.94421,0.97854,0.88319,0.4449,0.41255,0.83316,0.00186621,0.00186621,0.00186621
4,6714.15,0.52146,0.47451,0.87088,0.89565,0.91868,0.9633,0.89581,0.3986,0.41229,0.82471,0.001802,0.001802,0.001802
5,8431.89,0.49223,0.43486,0.8654,0.9178,0.9522,0.97444,0.90294,0.39534,0.39032,0.82115,0.001736,0.001736,0.001736
6,10145,0.48417,0.41316,0.8638,0.94027,0.95133,0.9839,0.92895,0.35484,0.32976,0.81209,0.00167,0.00167,0.00167
7,11844.2,0.45431,0.38919,0.85315,0.92563,0.94637,0.97823,0.91993,0.34924,0.33456,0.8098,0.001604,0.001604,0.001604
8,13543.6,0.44882,0.38389,0.8511,0.93299,0.96065,0.98471,0.93729,0.33465,0.31412,0.80869,0.001538,0.001538,0.001538
9,15375.7,0.43678,0.36587,0.8489,0.94563,0.942,0.98451,0.9319,0.32517,0.30328,0.8069,0.001472,0.001472,0.001472
10,17345.6,0.43078,0.35603,0.84549,0.95105,0.95424,0.98693,0.94177,0.32658,0.2766,0.80453,0.001406,0.001406,0.001406
11,19246.2,0.41874,0.34591,0.8453,0.95516,0.95803,0.98873,0.95039,0.31826,0.27385,0.80724,0.00134,0.00134,0.00134
12,21155.9,0.41165,0.33954,0.8403,0.95813,0.95103,0.98823,0.94897,0.30959,0.26183,0.80024,0.001274,0.001274,0.001274
13,23185.1,0.40196,0.33259,0.83794,0.94643,0.94238,0.98453,0.94511,0.30878,0.27824,0.80274,0.001208,0.001208,0.001208
14,25113.6,0.39253,0.31937,0.83693,0.95152,0.96108,0.98868,0.95043,0.30478,0.26206,0.80001,0.001142,0.001142,0.001142
15,27012,0.3937,0.31562,0.83719,0.95979,0.95949,0.98967,0.95857,0.28769,0.24888,0.79645,0.001076,0.001076,0.001076
16,28886.4,0.38023,0.3066,0.83478,0.96248,0.96436,0.99059,0.95926,0.28222,0.23461,0.79576,0.00101,0.00101,0.00101
17,30744.5,0.37747,0.30277,0.83117,0.96316,0.9589,0.99032,0.96105,0.2875,0.24627,0.7937,0.000944,0.000944,0.000944
18,32613.7,0.37044,0.29945,0.83242,0.95751,0.95628,0.98967,0.96245,0.27337,0.23668,0.79194,0.000878,0.000878,0.000878
19,34485.7,0.36699,0.29445,0.82964,0.96424,0.96328,0.99054,0.96342,0.27408,0.22687,0.79224,0.000812,0.000812,0.000812
20,36315.7,0.36181,0.28704,0.82981,0.9575,0.97187,0.99011,0.96194,0.27496,0.22797,0.79243,0.000746,0.000746,0.000746
21,38154.6,0.31776,0.25864,0.80232,0.95481,0.96736,0.98945,0.96074,0.28241,0.23568,0.79463,0.00068,0.00068,0.00068
22,39966.6,0.31513,0.25178,0.79881,0.96111,0.95978,0.98864,0.96158,0.2751,0.23826,0.79249,0.000614,0.000614,0.000614
23,41808.8,0.31074,0.24567,0.79806,0.96696,0.96389,0.99133,0.96676,0.268,0.22057,0.7903,0.000548,0.000548,0.000548
24,43623.8,0.30153,0.23602,0.79515,0.97208,0.96532,0.99126,0.96723,0.26624,0.21063,0.79085,0.000482,0.000482,0.000482
25,45428.3,0.29437,0.22815,0.79538,0.96295,0.97722,0.99116,0.96833,0.2629,0.21149,0.79008,0.000416,0.000416,0.000416
26,47258.3,0.28822,0.22217,0.79426,0.96827,0.9694,0.99172,0.96915,0.25775,0.20357,0.78973,0.00035,0.00035,0.00035
27,49065,0.2841,0.21595,0.79247,0.96944,0.97083,0.99198,0.97124,0.25483,0.20087,0.78803,0.000284,0.000284,0.000284
28,50902.3,0.273,0.20715,0.78931,0.97205,0.97308,0.99176,0.97301,0.24771,0.19582,0.78696,0.000218,0.000218,0.000218
29,52712.3,0.27065,0.20178,0.78892,0.96324,0.97764,0.99162,0.97313,0.24555,0.1931,0.78636,0.000152,0.000152,0.000152
30,54546.7,0.26531,0.19647,0.78815,0.96561,0.97697,0.99213,0.97434,0.24319,0.1887,0.78622,8.6e-05,8.6e-05,8.6e-05
