epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,851.938,1.42118,1.4031,1.10092,0.79883,0.77584,0.82188,0.45513,1.43238,0.98512,1.08961,0.000662626,0.000662626,0.000662626
2,1520.29,1.35897,0.90389,1.09144,0.71835,0.74829,0.76391,0.41155,1.5472,1.13024,1.19126,0.00130297,0.00130297,0.00130297
3,2133.94,1.33636,0.83765,1.08851,0.82361,0.76342,0.82691,0.43196,1.56879,0.9249,1.16713,0.00191692,0.00191692,0.00191692
4,2771.02,1.30771,0.78782,1.08114,0.79622,0.78611,0.82673,0.46135,1.4393,0.85647,1.11803,0.0018812,0.0018812,0.0018812
5,3423.49,1.3106,0.75351,1.08097,0.82214,0.77941,0.84507,0.50277,1.36129,0.76459,1.10369,0.0018416,0.0018416,0.0018416
6,4071.75,1.2916,0.73342,1.07941,0.82997,0.80082,0.85381,0.50104,1.35119,0.73624,1.11147,0.001802,0.001802,0.001802
7,4710.08,1.26671,0.71726,1.06877,0.82936,0.78907,0.84329,0.50124,1.36586,0.72982,1.10467,0.0017624,0.0017624,0.0017624
8,5354.29,1.25749,0.69965,1.06642,0.84166,0.80819,0.8633,0.51058,1.34976,0.68867,1.1049,0.0017228,0.0017228,0.0017228
9,5986.07,1.25151,0.6908,1.05978,0.80281,0.81383,0.84888,0.49713,1.33561,0.74774,1.10166,0.0016832,0.0016832,0.0016832
10,6618.95,1.23295,0.67479,1.05463,0.82467,0.76929,0.84269,0.51154,1.32342,0.72182,1.09986,0.0016436,0.0016436,0.0016436
11,7245.85,1.22269,0.66377,1.04731,0.84613,0.78572,0.86551,0.53089,1.31921,0.69609,1.09184,0.001604,0.001604,0.001604
12,7871.25,1.21673,0.6556,1.04697,0.8373,0.79093,0.86557,0.53033,1.32537,0.70628,1.09933,0.0015644,0.0015644,0.0015644
13,8486.21,1.20459,0.64772,1.04372,0.85126,0.811,0.86503,0.53264,1.31288,0.6576,1.10062,0.0015248,0.0015248,0.0015248
14,9060.42,1.20569,0.64362,1.04345,0.84731,0.79466,0.8482,0.51541,1.33217,0.68182,1.10515,0.0014852,0.0014852,0.0014852
15,9596.23,1.19114,0.6371,1.03691,0.84888,0.81192,0.86511,0.53401,1.32674,0.67218,1.0942,0.0014456,0.0014456,0.0014456
16,10119.4,1.20312,0.63496,1.04156,0.85065,0.80045,0.87349,0.54382,1.31043,0.65822,1.10226,0.001406,0.001406,0.001406
