epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3568,2.75641,7.60804,1.01136,0.6385,0.39575,0.40402,0.16488,2.07332,1.36954,0.84315,0.00332736,0.00332736,0.00332736
2,192.526,2.28637,1.52213,0.84543,0.62404,0.43745,0.43884,0.18651,1.97534,1.08917,0.832,0.00659475,0.00659475,0.00659475
3,281.675,2.23882,1.18129,0.84771,0.71228,0.44107,0.47528,0.20942,1.90657,1.00544,0.83472,0.00979614,0.00979614,0.00979614
4,375.485,2.09954,1.04735,0.84002,0.72296,0.46794,0.50465,0.23739,1.78415,0.91913,0.82455,0.009703,0.009703,0.009703
5,465.41,1.91729,0.93716,0.82035,0.78576,0.49464,0.57274,0.28718,1.63652,0.79028,0.80896,0.009604,0.009604,0.009604
6,553.845,1.80308,0.8625,0.81485,0.76852,0.50181,0.57382,0.29712,1.59293,0.74923,0.80617,0.009505,0.009505,0.009505
7,638.437,1.71094,0.81707,0.80953,0.77936,0.52711,0.6148,0.329,1.47639,0.7133,0.8045,0.009406,0.009406,0.009406
8,725.447,1.65422,0.79023,0.80671,0.80928,0.51475,0.59669,0.31842,1.46939,0.7196,0.80422,0.009307,0.009307,0.009307
9,815.611,1.62669,0.78159,0.80053,0.82511,0.56573,0.65275,0.3567,1.40775,0.66808,0.79567,0.009208,0.009208,0.009208
10,904.482,1.58267,0.75616,0.79771,0.8272,0.54996,0.64477,0.37078,1.34186,0.64829,0.79569,0.009109,0.009109,0.009109
11,985.198,1.5298,0.73272,0.79765,0.81823,0.55159,0.65769,0.38083,1.33273,0.66289,0.79355,0.00901,0.00901,0.00901
12,1066.05,1.51123,0.71847,0.79447,0.82862,0.54788,0.65663,0.37812,1.35,0.63516,0.79555,0.008911,0.008911,0.008911
13,1151.87,1.49593,0.70936,0.79361,0.83398,0.55546,0.65155,0.38094,1.29093,0.61244,0.78882,0.008812,0.008812,0.008812
14,1238.63,1.44992,0.68658,0.7891,0.84712,0.56379,0.66234,0.39162,1.26449,0.60648,0.78822,0.008713,0.008713,0.008713
15,1328.33,1.43779,0.6801,0.79026,0.83868,0.57664,0.67535,0.40686,1.22116,0.59401,0.78686,0.008614,0.008614,0.008614
16,1414.14,1.41197,0.66764,0.78888,0.85309,0.56675,0.67043,0.40458,1.22393,0.58961,0.78857,0.008515,0.008515,0.008515
17,1501.07,1.39828,0.66035,0.78885,0.8606,0.57185,0.67875,0.4129,1.22355,0.605,0.78388,0.008416,0.008416,0.008416
18,1589.7,1.38837,0.65756,0.78631,0.85281,0.58208,0.67535,0.40353,1.20795,0.57734,0.7833,0.008317,0.008317,0.008317
19,1680.11,1.37697,0.64562,0.78714,0.8639,0.57631,0.69988,0.43155,1.18521,0.57637,0.78585,0.008218,0.008218,0.008218
20,1765.54,1.3594,0.63629,0.7848,0.87055,0.57471,0.70409,0.43779,1.17599,0.56158,0.78322,0.008119,0.008119,0.008119
21,1851.79,1.3524,0.63722,0.78371,0.8624,0.57681,0.6891,0.43219,1.15397,0.55821,0.78368,0.00802,0.00802,0.00802
22,1936.43,1.33775,0.62835,0.78254,0.86939,0.57862,0.69754,0.4397,1.14655,0.55869,0.78043,0.007921,0.007921,0.007921
23,2022.12,1.31988,0.6238,0.78115,0.85805,0.57631,0.69311,0.43473,1.15103,0.54502,0.78161,0.007822,0.007822,0.007822
24,2118.06,1.31975,0.61697,0.78133,0.87135,0.57648,0.70158,0.44661,1.12352,0.543,0.78005,0.007723,0.007723,0.007723
25,2212.21,1.3034,0.61447,0.77995,0.87359,0.5909,0.70315,0.44783,1.11284,0.54609,0.77969,0.007624,0.007624,0.007624
26,2301.21,1.29939,0.61463,0.77928,0.87243,0.57697,0.69366,0.44202,1.11238,0.5286,0.78051,0.007525,0.007525,0.007525
27,2390.2,1.29257,0.60693,0.78201,0.86552,0.58346,0.70031,0.44592,1.11704,0.53447,0.77968,0.007426,0.007426,0.007426
28,2472.81,1.28366,0.60369,0.77729,0.87877,0.58686,0.70915,0.45473,1.10234,0.52685,0.77759,0.007327,0.007327,0.007327
29,2559.42,1.26843,0.59307,0.77715,0.8653,0.59181,0.70376,0.45586,1.07934,0.52525,0.77786,0.007228,0.007228,0.007228
30,2645.25,1.26989,0.59552,0.77739,0.87822,0.59493,0.71719,0.46494,1.07305,0.51876,0.77654,0.007129,0.007129,0.007129
31,2734.3,1.25913,0.58911,0.77741,0.87404,0.58786,0.71048,0.46192,1.07414,0.51612,0.77676,0.00703,0.00703,0.00703
32,2825.04,1.25667,0.58974,0.77518,0.8776,0.59147,0.71568,0.4661,1.06509,0.51678,0.77448,0.006931,0.006931,0.006931
33,2909.36,1.25609,0.58675,0.77708,0.87754,0.58357,0.71253,0.46643,1.06973,0.51755,0.77599,0.006832,0.006832,0.006832
34,2998.7,1.24367,0.58677,0.77632,0.87992,0.59124,0.71199,0.46378,1.07328,0.51514,0.77579,0.006733,0.006733,0.006733
35,3088.2,1.23123,0.58116,0.77587,0.86974,0.58489,0.70305,0.46017,1.05727,0.51091,0.77535,0.006634,0.006634,0.006634
36,3175.76,1.22499,0.57268,0.77398,0.87064,0.59395,0.71156,0.46873,1.04338,0.50544,0.77404,0.006535,0.006535,0.006535
37,3271.27,1.22842,0.57573,0.77509,0.87521,0.58435,0.71025,0.46802,1.04881,0.49959,0.77503,0.006436,0.006436,0.006436
38,3361.13,1.21417,0.56872,0.77452,0.88365,0.58897,0.71398,0.4732,1.03346,0.49841,0.77391,0.006337,0.006337,0.006337
39,3451.4,1.20323,0.56475,0.77365,0.88141,0.59477,0.72261,0.48065,1.02404,0.49086,0.77436,0.006238,0.006238,0.006238
40,3542.96,1.20244,0.56435,0.77298,0.88311,0.59247,0.71874,0.47442,1.03861,0.49579,0.77343,0.006139,0.006139,0.006139
41,3632.36,1.19974,0.56134,0.77414,0.89557,0.5626,0.69924,0.46427,1.02248,0.5011,0.77322,0.00604,0.00604,0.00604
42,3721.75,1.19716,0.55758,0.77456,0.89828,0.58003,0.70987,0.47407,1.01682,0.49279,0.77243,0.005941,0.005941,0.005941
43,3825.35,1.19081,0.55716,0.7726,0.88244,0.59016,0.7204,0.48118,1.01008,0.49058,0.77191,0.005842,0.005842,0.005842
44,3943.72,1.17941,0.55231,0.77245,0.87928,0.59576,0.72226,0.48312,1.0039,0.48221,0.77197,0.005743,0.005743,0.005743
45,4054.17,1.18046,0.55414,0.7711,0.887,0.59395,0.72484,0.48292,1.01274,0.48309,0.77183,0.005644,0.005644,0.005644
46,4173.21,1.17978,0.55321,0.77201,0.8867,0.59115,0.71775,0.48132,0.99511,0.47899,0.77098,0.005545,0.005545,0.005545
47,4281.2,1.17068,0.54873,0.76948,0.88121,0.59412,0.72449,0.48905,0.99403,0.48264,0.77028,0.005446,0.005446,0.005446
48,4399.28,1.16487,0.54583,0.7708,0.88209,0.59486,0.72434,0.48728,0.99335,0.47263,0.77135,0.005347,0.005347,0.005347
49,4504.57,1.16089,0.54181,0.77139,0.88721,0.59379,0.72834,0.49188,0.99173,0.47859,0.77078,0.005248,0.005248,0.005248
50,4625.71,1.14954,0.54082,0.7697,0.89256,0.5984,0.73082,0.49223,0.99249,0.46974,0.77079,0.005149,0.005149,0.005149
51,4741.83,1.16194,0.5415,0.77215,0.87992,0.59519,0.7232,0.48699,0.98792,0.47384,0.7704,0.00505,0.00505,0.00505
52,4860.43,1.14524,0.53633,0.76912,0.88511,0.59552,0.72266,0.48834,0.98384,0.47152,0.77037,0.004951,0.004951,0.004951
53,4962.75,1.1431,0.53418,0.76879,0.88665,0.59304,0.72916,0.49609,0.9737,0.4693,0.76954,0.004852,0.004852,0.004852
54,5082.77,1.13433,0.53011,0.77016,0.88917,0.59239,0.73042,0.49799,0.97445,0.46793,0.76886,0.004753,0.004753,0.004753
55,5210.78,1.13664,0.53163,0.76787,0.88676,0.59824,0.73023,0.49855,0.96951,0.46476,0.76909,0.004654,0.004654,0.004654
56,5383.3,1.12791,0.52723,0.76754,0.89125,0.59641,0.73041,0.49848,0.96811,0.46409,0.76924,0.004555,0.004555,0.004555
57,5531.45,1.12094,0.5215,0.77,0.88968,0.59692,0.73318,0.50059,0.96414,0.46537,0.7685,0.004456,0.004456,0.004456
58,5661.27,1.12269,0.52561,0.76847,0.88822,0.59412,0.73366,0.50242,0.95978,0.46397,0.76862,0.004357,0.004357,0.004357
59,5814.18,1.11987,0.52356,0.76831,0.8886,0.59774,0.72887,0.49839,0.95956,0.46115,0.76843,0.004258,0.004258,0.004258
60,5989.51,1.11942,0.51971,0.77012,0.89542,0.58497,0.72215,0.49726,0.95681,0.4624,0.76802,0.004159,0.004159,0.004159
61,6116.67,1.11451,0.52001,0.76851,0.90178,0.58126,0.7215,0.49615,0.95563,0.46352,0.76787,0.00406,0.00406,0.00406
62,6288.69,1.10885,0.51648,0.76861,0.89438,0.59322,0.72393,0.49611,0.95254,0.45899,0.76775,0.003961,0.003961,0.003961
63,6446,1.10019,0.51661,0.76836,0.88649,0.59725,0.72808,0.49845,0.94928,0.45416,0.76754,0.003862,0.003862,0.003862
64,6580.02,1.09495,0.51355,0.76678,0.88928,0.59838,0.73603,0.50525,0.94794,0.45386,0.76723,0.003763,0.003763,0.003763
65,6731.66,1.09668,0.51157,0.76545,0.89208,0.59741,0.73415,0.5022,0.9454,0.45307,0.76712,0.003664,0.003664,0.003664
66,6897.33,1.08796,0.50564,0.76599,0.89337,0.59684,0.72901,0.50063,0.94277,0.45395,0.76693,0.003565,0.003565,0.003565
67,7035.39,1.08101,0.50391,0.7662,0.88929,0.59708,0.73371,0.50601,0.93894,0.45262,0.76685,0.003466,0.003466,0.003466
68,7192.96,1.07721,0.5027,0.76666,0.89077,0.59679,0.73656,0.51097,0.9368,0.45281,0.76627,0.003367,0.003367,0.003367
69,7354.23,1.07066,0.5011,0.76655,0.89219,0.59609,0.73671,0.51074,0.93751,0.45229,0.76638,0.003268,0.003268,0.003268
70,7486.85,1.08317,0.50437,0.76428,0.89089,0.59684,0.73459,0.50849,0.93589,0.45,0.76621,0.003169,0.003169,0.003169
71,7643.33,1.07715,0.50171,0.76622,0.89618,0.59461,0.73615,0.51052,0.93627,0.45029,0.76632,0.00307,0.00307,0.00307
72,7799.6,1.06544,0.49368,0.76548,0.89792,0.59667,0.73817,0.51243,0.93428,0.44791,0.76612,0.002971,0.002971,0.002971
