epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7663,2.65522,6.81132,0.98893,0.67034,0.41165,0.42951,0.17795,1.98899,1.26298,0.83281,0.00332736,0.00332736,0.00332736
2,195.612,2.21052,1.42992,0.84122,0.65079,0.4475,0.45714,0.17063,2.11342,1.00599,0.82942,0.00659475,0.00659475,0.00659475
3,282.914,2.1638,1.09617,0.84246,0.69172,0.46778,0.51114,0.22086,1.89578,0.89951,0.8328,0.00979614,0.00979614,0.00979614
4,369.328,2.01336,0.95731,0.8339,0.74216,0.48896,0.5506,0.26871,1.66395,0.84408,0.82357,0.009703,0.009703,0.009703
5,461.241,1.80038,0.84944,0.81988,0.78091,0.51407,0.58711,0.30366,1.51923,0.74314,0.81119,0.009604,0.009604,0.009604
6,545.943,1.68359,0.7902,0.811,0.79073,0.515,0.62212,0.33526,1.50851,0.75095,0.80883,0.009505,0.009505,0.009505
7,637.404,1.59033,0.74481,0.80629,0.83835,0.54145,0.64869,0.36152,1.40034,0.66774,0.80219,0.009406,0.009406,0.009406
8,726.321,1.52883,0.71694,0.80101,0.84005,0.54483,0.64723,0.36469,1.34565,0.65936,0.8035,0.009307,0.009307,0.009307
9,813.758,1.50742,0.70269,0.80147,0.82533,0.56115,0.66769,0.37965,1.34027,0.65608,0.7969,0.009208,0.009208,0.009208
10,901.135,1.4634,0.69014,0.79807,0.86179,0.54931,0.66933,0.40151,1.2437,0.62544,0.79607,0.009109,0.009109,0.009109
11,987.899,1.42416,0.6678,0.79638,0.84047,0.56272,0.67563,0.40604,1.24181,0.60093,0.79646,0.00901,0.00901,0.00901
12,1073.33,1.40531,0.65382,0.79339,0.8506,0.54803,0.66774,0.40847,1.22982,0.59356,0.79767,0.008911,0.008911,0.008911
13,1160.42,1.38827,0.64626,0.79273,0.84206,0.56244,0.66956,0.40001,1.21336,0.58455,0.79213,0.008812,0.008812,0.008812
14,1248.75,1.3428,0.63241,0.79179,0.8559,0.5551,0.66743,0.41185,1.1779,0.57007,0.79141,0.008713,0.008713,0.008713
15,1334.8,1.33457,0.62712,0.79168,0.87613,0.55777,0.68841,0.42062,1.21688,0.58841,0.7926,0.008614,0.008614,0.008614
16,1417.86,1.31839,0.61376,0.78915,0.87083,0.5634,0.69368,0.43058,1.1523,0.55364,0.79062,0.008515,0.008515,0.008515
17,1503.4,1.3092,0.6118,0.78797,0.86412,0.55522,0.68909,0.43425,1.14891,0.55794,0.78973,0.008416,0.008416,0.008416
18,1593.86,1.29277,0.60356,0.78731,0.87315,0.57401,0.70116,0.4442,1.13323,0.54182,0.78989,0.008317,0.008317,0.008317
19,1682.19,1.28658,0.60622,0.78675,0.87172,0.57685,0.70791,0.45122,1.10798,0.53735,0.78675,0.008218,0.008218,0.008218
20,1772.21,1.27027,0.58747,0.78798,0.87142,0.56412,0.70061,0.44462,1.12836,0.54299,0.78978,0.008119,0.008119,0.008119
21,1862.23,1.26222,0.58552,0.78806,0.87584,0.57261,0.70284,0.45559,1.08057,0.52295,0.78644,0.00802,0.00802,0.00802
22,1947.33,1.24551,0.58329,0.78596,0.86875,0.56838,0.68992,0.44297,1.09856,0.52494,0.7866,0.007921,0.007921,0.007921
23,2038.03,1.23945,0.57218,0.78401,0.86101,0.5616,0.68888,0.43604,1.12879,0.53843,0.78753,0.007822,0.007822,0.007822
24,2124.93,1.22949,0.57021,0.78275,0.86531,0.57211,0.69536,0.45212,1.06179,0.50944,0.78431,0.007723,0.007723,0.007723
25,2214.96,1.2174,0.56673,0.78427,0.86183,0.56552,0.6943,0.45112,1.08262,0.52148,0.78397,0.007624,0.007624,0.007624
26,2306.02,1.20975,0.56482,0.78106,0.86872,0.56989,0.69925,0.45705,1.06756,0.50944,0.78427,0.007525,0.007525,0.007525
27,2396.26,1.19973,0.55945,0.78197,0.86942,0.57285,0.70473,0.46026,1.0605,0.50813,0.78317,0.007426,0.007426,0.007426
28,2489.89,1.19963,0.55274,0.78094,0.87475,0.56667,0.69941,0.46418,1.04266,0.50861,0.783,0.007327,0.007327,0.007327
29,2581.46,1.18948,0.54979,0.7817,0.87292,0.58554,0.71173,0.46519,1.04211,0.5058,0.78302,0.007228,0.007228,0.007228
30,2666.85,1.18041,0.55052,0.77914,0.88132,0.57895,0.71268,0.47076,1.03659,0.50518,0.78211,0.007129,0.007129,0.007129
31,2759.21,1.17725,0.54565,0.78025,0.87728,0.58146,0.70686,0.46335,1.03175,0.48191,0.78276,0.00703,0.00703,0.00703
32,2847.77,1.17022,0.54601,0.77877,0.88854,0.57682,0.7178,0.47685,1.02337,0.49516,0.78052,0.006931,0.006931,0.006931
33,2934.43,1.16502,0.5393,0.77851,0.89035,0.57294,0.72296,0.48509,1.01636,0.49066,0.78165,0.006832,0.006832,0.006832
34,3022.03,1.15852,0.53418,0.77788,0.88074,0.57285,0.71586,0.47911,1.01653,0.48842,0.78025,0.006733,0.006733,0.006733
35,3109.52,1.1533,0.53499,0.77928,0.88642,0.57953,0.72238,0.48382,1.00911,0.48274,0.78059,0.006634,0.006634,0.006634
36,3195.56,1.14611,0.53179,0.77717,0.86846,0.57475,0.70983,0.47803,1.00163,0.48132,0.77921,0.006535,0.006535,0.006535
37,3278.93,1.13937,0.52969,0.77726,0.89295,0.57945,0.72258,0.48578,0.99967,0.47548,0.78002,0.006436,0.006436,0.006436
38,3366.11,1.13528,0.52153,0.77811,0.87982,0.57558,0.71317,0.48131,0.98695,0.47923,0.77902,0.006337,0.006337,0.006337
39,3449.31,1.13074,0.52531,0.77773,0.88409,0.57327,0.7145,0.4832,0.98657,0.47696,0.77892,0.006238,0.006238,0.006238
40,3531.32,1.13163,0.52729,0.77664,0.88948,0.57631,0.71743,0.48625,0.98487,0.47188,0.77796,0.006139,0.006139,0.006139
41,3619.62,1.11765,0.52105,0.77688,0.88768,0.5792,0.7195,0.48635,0.98173,0.47046,0.77826,0.00604,0.00604,0.00604
42,3710.46,1.11739,0.51371,0.77595,0.88664,0.57624,0.72239,0.4933,0.97253,0.47085,0.77762,0.005941,0.005941,0.005941
43,3798.48,1.11516,0.52043,0.77465,0.88546,0.57722,0.72159,0.49039,0.96923,0.47145,0.77724,0.005842,0.005842,0.005842
44,3889.36,1.11084,0.51296,0.77554,0.88856,0.58156,0.72006,0.49002,0.96983,0.4629,0.7774,0.005743,0.005743,0.005743
45,3980.69,1.1046,0.51015,0.77726,0.88746,0.57524,0.7203,0.49403,0.96127,0.46345,0.7776,0.005644,0.005644,0.005644
46,4067.82,1.10821,0.51404,0.77349,0.89524,0.58035,0.7245,0.49575,0.95249,0.45931,0.77693,0.005545,0.005545,0.005545
47,4155.29,1.09444,0.50712,0.77457,0.89043,0.57879,0.73465,0.50578,0.9572,0.46392,0.77686,0.005446,0.005446,0.005446
48,4244.58,1.10105,0.50707,0.77395,0.89662,0.57971,0.72918,0.50281,0.95077,0.45513,0.77671,0.005347,0.005347,0.005347
49,4328.98,1.0929,0.50554,0.77415,0.89456,0.58315,0.72678,0.49871,0.95044,0.45585,0.77604,0.005248,0.005248,0.005248
50,4414.67,1.0856,0.50125,0.7749,0.89665,0.58059,0.72951,0.50287,0.94886,0.45285,0.77618,0.005149,0.005149,0.005149
51,4502.4,1.08142,0.50079,0.77351,0.89368,0.58123,0.73043,0.50652,0.94327,0.45621,0.77555,0.00505,0.00505,0.00505
52,4592.46,1.07984,0.49802,0.77221,0.90081,0.58082,0.73571,0.51139,0.9418,0.45226,0.77525,0.004951,0.004951,0.004951
53,4678.41,1.07061,0.49705,0.7727,0.89888,0.57875,0.72919,0.50677,0.93706,0.45291,0.77496,0.004852,0.004852,0.004852
54,4766.52,1.06927,0.4905,0.77233,0.89227,0.5806,0.73124,0.50631,0.93763,0.45331,0.77485,0.004753,0.004753,0.004753
55,4852.98,1.06555,0.48781,0.77218,0.89384,0.58218,0.73218,0.50786,0.93736,0.44725,0.77578,0.004654,0.004654,0.004654
56,4934.97,1.06388,0.49036,0.77264,0.89576,0.57859,0.72926,0.50637,0.93726,0.4451,0.77525,0.004555,0.004555,0.004555
57,5014.1,1.06048,0.48592,0.77396,0.89535,0.5806,0.73027,0.50928,0.93036,0.44456,0.77473,0.004456,0.004456,0.004456
58,5096.72,1.06127,0.49144,0.77397,0.89977,0.58,0.73425,0.51205,0.93485,0.44721,0.7752,0.004357,0.004357,0.004357
59,5186.81,1.0532,0.48923,0.77303,0.8974,0.58068,0.72866,0.50771,0.92912,0.44668,0.7746,0.004258,0.004258,0.004258
60,5277.12,1.05355,0.48798,0.77275,0.89538,0.58044,0.72874,0.50609,0.92839,0.44695,0.77406,0.004159,0.004159,0.004159
61,5367.79,1.04552,0.48208,0.77128,0.89786,0.58029,0.72753,0.50774,0.92613,0.44552,0.77381,0.00406,0.00406,0.00406
62,5456.14,1.0437,0.48271,0.77249,0.8997,0.58254,0.73282,0.51271,0.92334,0.44309,0.7739,0.003961,0.003961,0.003961
63,5553.23,1.03772,0.48231,0.77125,0.8995,0.58423,0.73385,0.5121,0.92023,0.43796,0.77413,0.003862,0.003862,0.003862
64,5642.47,1.02798,0.47604,0.77141,0.90387,0.58275,0.73843,0.51857,0.91911,0.43884,0.77384,0.003763,0.003763,0.003763
65,5728.54,1.03053,0.47733,0.76831,0.90252,0.58144,0.73714,0.51714,0.91629,0.43789,0.77372,0.003664,0.003664,0.003664
66,5818.12,1.02755,0.47005,0.77134,0.90401,0.58211,0.73749,0.51843,0.9133,0.43631,0.77349,0.003565,0.003565,0.003565
67,5909.83,1.02074,0.47058,0.7706,0.90231,0.5831,0.73987,0.51971,0.91342,0.43529,0.7734,0.003466,0.003466,0.003466
68,5998.65,1.02565,0.46997,0.77236,0.90468,0.58118,0.74329,0.524,0.90965,0.43531,0.77318,0.003367,0.003367,0.003367
69,6082.48,1.01304,0.4684,0.77065,0.90466,0.57978,0.73989,0.52194,0.90895,0.43635,0.77296,0.003268,0.003268,0.003268
70,6169.37,1.01918,0.46783,0.76951,0.9057,0.58068,0.73717,0.51985,0.90676,0.43393,0.77243,0.003169,0.003169,0.003169
71,6256.47,1.01765,0.46889,0.77128,0.90478,0.58263,0.74018,0.52243,0.90611,0.43148,0.77256,0.00307,0.00307,0.00307
72,6341.89,1.00771,0.46271,0.77066,0.90503,0.5825,0.74058,0.52343,0.90326,0.43052,0.77254,0.002971,0.002971,0.002971
73,6432.94,1.00599,0.46318,0.77024,0.90466,0.58338,0.74064,0.52307,0.90382,0.43002,0.77221,0.002872,0.002872,0.002872
74,6522.96,1.0099,0.45903,0.76993,0.90337,0.58299,0.73845,0.51967,0.90307,0.42903,0.77235,0.002773,0.002773,0.002773
75,6611.78,0.99622,0.45746,0.76909,0.90357,0.58315,0.73874,0.52109,0.9031,0.42728,0.77231,0.002674,0.002674,0.002674
76,6701.49,1.00021,0.45554,0.76956,0.90347,0.58156,0.73875,0.52205,0.90119,0.4266,0.77204,0.002575,0.002575,0.002575
77,6787.47,0.99336,0.45782,0.7681,0.90544,0.58162,0.74027,0.52308,0.90078,0.42717,0.77201,0.002476,0.002476,0.002476
78,6874.23,0.99855,0.45703,0.76947,0.9033,0.58277,0.73961,0.52229,0.90162,0.42663,0.77202,0.002377,0.002377,0.002377
79,6968.01,0.98926,0.45412,0.76709,0.90341,0.58299,0.74104,0.524,0.89917,0.42508,0.7721,0.002278,0.002278,0.002278
80,7057.19,0.98416,0.44728,0.7681,0.90267,0.58393,0.74168,0.52538,0.89677,0.42523,0.77198,0.002179,0.002179,0.002179
81,7145.43,0.98276,0.44812,0.76825,0.90273,0.5836,0.74002,0.5238,0.8965,0.42475,0.77166,0.00208,0.00208,0.00208
82,7235.74,0.96625,0.44288,0.76817,0.90297,0.58184,0.73882,0.5234,0.89621,0.42474,0.77148,0.001981,0.001981,0.001981
83,7324.44,0.97717,0.44935,0.7669,0.90394,0.58239,0.73882,0.52407,0.89379,0.42251,0.77142,0.001882,0.001882,0.001882
84,7412.48,0.97048,0.43909,0.76828,0.90544,0.58239,0.73944,0.52444,0.89241,0.42358,0.77123,0.001783,0.001783,0.001783
85,7501.82,0.96647,0.44137,0.76864,0.90631,0.5836,0.74055,0.52595,0.89182,0.42366,0.77116,0.001684,0.001684,0.001684
86,7585.55,0.96668,0.43893,0.76704,0.90782,0.58307,0.74181,0.52681,0.89167,0.42394,0.7711,0.001585,0.001585,0.001585
87,7673.01,0.9662,0.4394,0.76707,0.9072,0.58357,0.74152,0.52665,0.89217,0.42366,0.77098,0.001486,0.001486,0.001486
88,7759.02,0.96773,0.43814,0.76596,0.90695,0.58348,0.74014,0.52583,0.89069,0.42222,0.77099,0.001387,0.001387,0.001387
89,7848.22,0.9588,0.43539,0.76703,0.9079,0.58307,0.73971,0.52534,0.88998,0.42163,0.77081,0.001288,0.001288,0.001288
90,7935.12,0.9498,0.43588,0.76624,0.90774,0.58274,0.73916,0.52508,0.88974,0.42183,0.77075,0.001189,0.001189,0.001189
91,8021.76,0.89986,0.4242,0.76933,0.90762,0.58296,0.73818,0.52483,0.8885,0.42097,0.77072,0.00109,0.00109,0.00109
92,8107.26,0.89029,0.41349,0.76864,0.9093,0.58329,0.73839,0.5246,0.8898,0.42191,0.77071,0.000991,0.000991,0.000991
93,8196.84,0.89039,0.41609,0.76952,0.90985,0.58305,0.73912,0.5256,0.88955,0.42173,0.77071,0.000892,0.000892,0.000892
