epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.43,5.30828,1.6574,0.99275,0.60802,0.34465,0.35485,0.15123,4.10954,0.58048,0.83869,0.00332736,0.00332736,0.00332736
2,241.871,4.45573,0.59533,0.85528,0.6118,0.4105,0.41964,0.18691,3.78141,0.30393,0.84123,0.00659475,0.00659475,0.00659475
3,359.777,4.42213,0.39419,0.85641,0.61067,0.39921,0.3947,0.15323,4.32982,0.28582,0.84313,0.00979614,0.00979614,0.00979614
4,479.677,4.14259,0.29275,0.84452,0.66302,0.4443,0.46655,0.23232,3.38849,0.22017,0.831,0.009703,0.009703,0.009703
5,585.062,3.71547,0.23536,0.83056,0.73725,0.48294,0.53272,0.28435,3.04091,0.18552,0.82903,0.009604,0.009604,0.009604
6,701.511,3.46816,0.20899,0.82048,0.69859,0.41371,0.47729,0.26822,3.01708,0.19802,0.82118,0.009505,0.009505,0.009505
7,804.796,3.2997,0.19179,0.81518,0.8119,0.47809,0.57391,0.32078,2.86121,0.16694,0.81273,0.009406,0.009406,0.009406
8,919.437,3.15667,0.17985,0.81039,0.76597,0.5117,0.58015,0.3334,2.67937,0.15426,0.81331,0.009307,0.009307,0.009307
9,1024.71,3.09656,0.1711,0.80814,0.76423,0.52069,0.60048,0.3463,2.72755,0.15366,0.80976,0.009208,0.009208,0.009208
10,1137.99,2.99372,0.16603,0.80535,0.80484,0.53948,0.62615,0.368,2.56763,0.1421,0.80606,0.009109,0.009109,0.009109
11,1246.87,2.91238,0.15906,0.80361,0.80668,0.51706,0.60732,0.3554,2.56658,0.14087,0.80115,0.00901,0.00901,0.00901
12,1357.76,2.86762,0.15402,0.79896,0.80287,0.53494,0.61549,0.36318,2.53415,0.14123,0.80057,0.008911,0.008911,0.008911
13,1470.4,2.8436,0.15274,0.79858,0.82713,0.53873,0.64672,0.39457,2.43266,0.13197,0.79819,0.008812,0.008812,0.008812
14,1577.08,2.76317,0.14831,0.79738,0.82769,0.54393,0.64185,0.38475,2.47004,0.13252,0.79816,0.008713,0.008713,0.008713
15,1692.84,2.72875,0.14473,0.79669,0.82084,0.50447,0.63519,0.39877,2.38971,0.15118,0.79405,0.008614,0.008614,0.008614
16,1797.59,2.69933,0.14315,0.79365,0.83669,0.54236,0.63951,0.39273,2.34241,0.1284,0.7932,0.008515,0.008515,0.008515
17,1912.5,2.67663,0.14062,0.7922,0.81538,0.55093,0.64878,0.39664,2.38465,0.12638,0.79526,0.008416,0.008416,0.008416
18,2019.81,2.64392,0.14015,0.79189,0.84272,0.56057,0.66606,0.41177,2.33323,0.12936,0.79224,0.008317,0.008317,0.008317
19,2135.39,2.61236,0.13887,0.79092,0.8414,0.55087,0.65931,0.41607,2.29246,0.12446,0.79394,0.008218,0.008218,0.008218
20,2239.46,2.58474,0.1348,0.79111,0.84572,0.54571,0.66938,0.4256,2.25778,0.12389,0.79163,0.008119,0.008119,0.008119
21,2355,2.57202,0.13434,0.79123,0.85921,0.55991,0.66373,0.42026,2.22412,0.11927,0.7906,0.00802,0.00802,0.00802
22,2459.13,2.53918,0.13356,0.78894,0.83924,0.55555,0.66666,0.42395,2.24761,0.11839,0.78972,0.007921,0.007921,0.007921
23,2575.42,2.52625,0.13082,0.78742,0.85307,0.55827,0.65548,0.40458,2.26979,0.11629,0.79119,0.007822,0.007822,0.007822
24,2681.52,2.52168,0.13113,0.78651,0.84526,0.56949,0.67499,0.42895,2.21214,0.11445,0.78933,0.007723,0.007723,0.007723
25,2792.95,2.49205,0.1294,0.787,0.84187,0.55851,0.66898,0.43047,2.19564,0.11537,0.78637,0.007624,0.007624,0.007624
26,2901.76,2.45976,0.12798,0.78391,0.83825,0.55951,0.67216,0.43247,2.20158,0.11653,0.78808,0.007525,0.007525,0.007525
27,3011.54,2.44818,0.12606,0.78399,0.84968,0.57297,0.67169,0.43119,2.1329,0.11139,0.78377,0.007426,0.007426,0.007426
28,3126.44,2.44994,0.1253,0.78274,0.84509,0.56502,0.67116,0.43567,2.12471,0.11319,0.7842,0.007327,0.007327,0.007327
29,3235.31,2.43307,0.1245,0.78383,0.85191,0.57549,0.68668,0.44636,2.12257,0.10983,0.78446,0.007228,0.007228,0.007228
30,3350.97,2.4134,0.12407,0.78204,0.85874,0.57079,0.68063,0.44234,2.12662,0.11008,0.78566,0.007129,0.007129,0.007129
31,3456.87,2.39017,0.12272,0.78255,0.85919,0.57805,0.69119,0.4516,2.08211,0.10783,0.78413,0.00703,0.00703,0.00703
32,3573.32,2.38333,0.1227,0.78062,0.8553,0.57484,0.68575,0.44912,2.0925,0.1081,0.7819,0.006931,0.006931,0.006931
33,3678.17,2.37242,0.12097,0.78034,0.86976,0.57844,0.68918,0.45377,2.04875,0.10568,0.78236,0.006832,0.006832,0.006832
34,3793.61,2.36775,0.12003,0.77948,0.85655,0.5806,0.68896,0.45382,2.05025,0.10464,0.78207,0.006733,0.006733,0.006733
35,3896.61,2.34316,0.11995,0.78003,0.84992,0.58983,0.69042,0.45502,2.0334,0.10365,0.78077,0.006634,0.006634,0.006634
36,4011.35,2.32974,0.11917,0.77843,0.84997,0.57615,0.68305,0.4542,2.03489,0.1048,0.78166,0.006535,0.006535,0.006535
37,4116.68,2.31708,0.1186,0.77799,0.86435,0.57755,0.69517,0.4617,2.02734,0.1042,0.78165,0.006436,0.006436,0.006436
38,4231.04,2.30459,0.11703,0.77966,0.85085,0.57731,0.68049,0.45476,1.99609,0.10285,0.78044,0.006337,0.006337,0.006337
39,4341.39,2.29498,0.11807,0.77845,0.86521,0.5825,0.69538,0.46077,2.00886,0.10307,0.7794,0.006238,0.006238,0.006238
40,4453.52,2.30287,0.11797,0.7772,0.86612,0.58592,0.69904,0.46637,2.00507,0.10154,0.78016,0.006139,0.006139,0.006139
41,4565.23,2.27424,0.11669,0.77787,0.86461,0.58052,0.69446,0.46585,1.98071,0.1023,0.77873,0.00604,0.00604,0.00604
42,4674.76,2.27491,0.11496,0.77679,0.87517,0.58184,0.69907,0.468,1.96748,0.1011,0.77797,0.005941,0.005941,0.005941
43,4788.79,2.26375,0.11506,0.77473,0.86563,0.58398,0.69397,0.46412,1.96006,0.10078,0.77681,0.005842,0.005842,0.005842
44,4896.15,2.25148,0.11416,0.77615,0.86676,0.58596,0.70101,0.47264,1.95334,0.10147,0.77763,0.005743,0.005743,0.005743
45,5011.29,2.24778,0.11369,0.77739,0.86748,0.5839,0.69892,0.47063,1.9465,0.09984,0.77681,0.005644,0.005644,0.005644
46,5116.24,2.25201,0.11531,0.77362,0.86794,0.58337,0.70155,0.47233,1.95031,0.10037,0.77677,0.005545,0.005545,0.005545
47,5232.32,2.22109,0.113,0.77452,0.8707,0.58719,0.70382,0.47563,1.93759,0.09968,0.77654,0.005446,0.005446,0.005446
48,5338.01,2.23515,0.11293,0.77402,0.87615,0.59032,0.70972,0.47957,1.94372,0.09899,0.77661,0.005347,0.005347,0.005347
49,5453.82,2.21166,0.1119,0.77411,0.87342,0.58785,0.70733,0.48083,1.92334,0.09838,0.77556,0.005248,0.005248,0.005248
50,5558.81,2.19417,0.1117,0.77422,0.88249,0.58984,0.71634,0.48702,1.92391,0.09757,0.77555,0.005149,0.005149,0.005149
51,5676.83,2.20961,0.11179,0.77321,0.87295,0.58629,0.70195,0.47962,1.90882,0.09956,0.77512,0.00505,0.00505,0.00505
52,5781.1,2.19072,0.11052,0.77179,0.87596,0.59016,0.70974,0.48344,1.90766,0.09878,0.77515,0.004951,0.004951,0.004951
53,5898.42,2.17187,0.11011,0.77179,0.87484,0.59131,0.70767,0.48185,1.90008,0.09701,0.77444,0.004852,0.004852,0.004852
54,6003.04,2.15985,0.10932,0.77191,0.879,0.59328,0.71165,0.48578,1.88873,0.09616,0.77431,0.004753,0.004753,0.004753
55,6116.22,2.16222,0.10897,0.77119,0.88183,0.59008,0.71195,0.48608,1.88491,0.09582,0.77472,0.004654,0.004654,0.004654
56,6225.61,2.15605,0.10887,0.77204,0.88295,0.5918,0.71285,0.48882,1.87253,0.09516,0.7736,0.004555,0.004555,0.004555
57,6339.88,2.14784,0.10761,0.77273,0.87631,0.59214,0.71301,0.48784,1.88507,0.09539,0.77385,0.004456,0.004456,0.004456
58,6449.42,2.14402,0.10821,0.77256,0.87663,0.58901,0.70977,0.48787,1.87585,0.09515,0.77363,0.004357,0.004357,0.004357
59,6559.13,2.13349,0.10851,0.77179,0.87523,0.59024,0.70913,0.4881,1.87257,0.09498,0.77345,0.004258,0.004258,0.004258
60,6674.68,2.13195,0.10772,0.77133,0.8782,0.59006,0.71023,0.4878,1.8656,0.09466,0.77273,0.004159,0.004159,0.004159
61,6781.78,2.1127,0.1056,0.76959,0.88399,0.59091,0.71664,0.4946,1.85727,0.09414,0.77227,0.00406,0.00406,0.00406
62,6898.32,2.11515,0.10594,0.77108,0.87857,0.59181,0.71384,0.49099,1.8596,0.0937,0.77203,0.003961,0.003961,0.003961
63,7001.91,2.10452,0.10653,0.76987,0.87708,0.59098,0.71138,0.49073,1.85131,0.09337,0.77187,0.003862,0.003862,0.003862
64,7117.01,2.08895,0.10432,0.7703,0.87931,0.58843,0.70937,0.48952,1.84908,0.09376,0.77172,0.003763,0.003763,0.003763
65,7223.07,2.09105,0.10523,0.76684,0.88134,0.59189,0.71395,0.49421,1.84596,0.09314,0.77162,0.003664,0.003664,0.003664
66,7339.87,2.08284,0.10365,0.76917,0.88093,0.58961,0.71265,0.49378,1.84234,0.09288,0.7711,0.003565,0.003565,0.003565
67,7447.01,2.06318,0.10372,0.76913,0.88552,0.59098,0.715,0.49635,1.8398,0.09281,0.77097,0.003466,0.003466,0.003466
68,7565.53,2.07507,0.10321,0.77008,0.87866,0.59098,0.71122,0.49439,1.82956,0.09269,0.77051,0.003367,0.003367,0.003367
69,7669.48,2.04442,0.10314,0.76848,0.87943,0.59255,0.71583,0.49726,1.83587,0.09232,0.77042,0.003268,0.003268,0.003268
70,7786,2.06479,0.10339,0.76735,0.87542,0.59469,0.71469,0.4965,1.83249,0.09237,0.77024,0.003169,0.003169,0.003169
71,7892.38,2.05292,0.10311,0.76893,0.87777,0.59658,0.71846,0.49854,1.82923,0.09204,0.77031,0.00307,0.00307,0.00307
72,8005.83,2.03767,0.10176,0.76866,0.87835,0.59387,0.71791,0.49916,1.82357,0.09209,0.77007,0.002971,0.002971,0.002971
73,8112.44,2.0369,0.10153,0.76799,0.8821,0.59321,0.71709,0.49984,1.81829,0.09213,0.76981,0.002872,0.002872,0.002872
74,8220.86,2.03898,0.10085,0.76731,0.88261,0.59214,0.71572,0.49845,1.82324,0.09221,0.76982,0.002773,0.002773,0.002773
75,8335.73,2.01093,0.10064,0.76587,0.88036,0.59263,0.71614,0.49924,1.82137,0.09224,0.76947,0.002674,0.002674,0.002674
76,8444.21,2.0226,0.10023,0.76664,0.88366,0.59024,0.71718,0.50069,1.81702,0.09173,0.76901,0.002575,0.002575,0.002575
77,8558.85,2.0013,0.09993,0.76533,0.88209,0.59222,0.71853,0.50259,1.81511,0.0914,0.76885,0.002476,0.002476,0.002476
78,8655.33,2.01522,0.1006,0.7663,0.88154,0.59489,0.71902,0.50167,1.81069,0.09103,0.76878,0.002377,0.002377,0.002377
79,8741.66,1.99264,0.09942,0.76394,0.87747,0.59552,0.71846,0.50165,1.81085,0.09045,0.76871,0.002278,0.002278,0.002278
80,8824.71,1.97618,0.09828,0.7651,0.88105,0.59579,0.71925,0.50205,1.80816,0.09058,0.76853,0.002179,0.002179,0.002179
81,8910.08,1.98346,0.09808,0.76523,0.8801,0.59651,0.72022,0.503,1.80499,0.09031,0.76837,0.00208,0.00208,0.00208
82,8989.97,1.95792,0.09701,0.76462,0.88289,0.59527,0.72026,0.50347,1.80267,0.09038,0.76812,0.001981,0.001981,0.001981
83,9074.24,1.97734,0.09819,0.76374,0.88412,0.5948,0.72133,0.505,1.7988,0.09024,0.76786,0.001882,0.001882,0.001882
84,9159.55,1.95779,0.09659,0.7647,0.88478,0.59445,0.7221,0.50605,1.79511,0.09033,0.76763,0.001783,0.001783,0.001783
85,9246.82,1.95493,0.0969,0.76471,0.88305,0.5951,0.72106,0.50592,1.79244,0.09034,0.76742,0.001684,0.001684,0.001684
86,9330.19,1.95397,0.09613,0.76348,0.88152,0.5948,0.72057,0.50533,1.79395,0.09019,0.76735,0.001585,0.001585,0.001585
87,9414.46,1.95568,0.09642,0.76339,0.87938,0.5948,0.72032,0.5055,1.79056,0.09011,0.76732,0.001486,0.001486,0.001486
88,9496.53,1.95411,0.09629,0.76205,0.88001,0.59593,0.72148,0.50636,1.78932,0.08993,0.76727,0.001387,0.001387,0.001387
89,9583.89,1.93641,0.09551,0.76337,0.88161,0.59593,0.72142,0.50688,1.78764,0.08991,0.76722,0.001288,0.001288,0.001288
90,9667.64,1.90903,0.09505,0.76225,0.88242,0.59585,0.72124,0.50675,1.78376,0.08974,0.76698,0.001189,0.001189,0.001189
91,9753.37,1.80982,0.09255,0.76692,0.88235,0.5956,0.71992,0.50636,1.7863,0.0899,0.76683,0.00109,0.00109,0.00109
92,9837.26,1.8024,0.08997,0.76644,0.88036,0.59585,0.72008,0.50685,1.7878,0.08988,0.76687,0.000991,0.000991,0.000991
93,9920.47,1.80017,0.09026,0.7672,0.88002,0.59662,0.72092,0.50734,1.78794,0.0899,0.76675,0.000892,0.000892,0.000892
