epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.769,1.75987,2.65014,0.92375,0.80635,0.56103,0.61705,0.33985,1.40657,0.81502,0.83838,0.00333141,0.00333141,0.00333141
2,961.405,1.51844,0.89815,0.84919,0.83704,0.5903,0.66575,0.37755,1.33711,0.72365,0.83379,0.00659876,0.00659876,0.00659876
3,1442.55,1.51239,0.82588,0.85165,0.83285,0.56438,0.65922,0.3863,1.33481,0.82649,0.83456,0.00980012,0.00980012,0.00980012
4,1898.74,1.42658,0.77427,0.84329,0.84837,0.62669,0.70351,0.41942,1.24783,0.66416,0.82732,0.009703,0.009703,0.009703
5,2376.05,1.32703,0.70481,0.83315,0.86794,0.6452,0.73613,0.46482,1.13043,0.6031,0.81454,0.009604,0.009604,0.009604
6,2829.7,1.2539,0.66601,0.82629,0.85117,0.65099,0.72547,0.4623,1.08697,0.59379,0.81103,0.009505,0.009505,0.009505
7,3295.61,1.21335,0.63907,0.82091,0.8789,0.65822,0.74337,0.47775,1.0557,0.55679,0.80876,0.009406,0.009406,0.009406
8,3748.9,1.18513,0.62325,0.81806,0.88828,0.66206,0.76004,0.49654,1.02985,0.52798,0.80596,0.009307,0.009307,0.009307
9,4202.85,1.16339,0.60888,0.8173,0.89012,0.67477,0.7699,0.50512,1.02477,0.52556,0.80425,0.009208,0.009208,0.009208
10,4671.94,1.14086,0.59327,0.812,0.901,0.67943,0.78054,0.52192,0.98125,0.5023,0.80024,0.009109,0.009109,0.009109
11,5127.19,1.12712,0.5859,0.81014,0.90211,0.67563,0.77502,0.52369,0.97283,0.49918,0.80045,0.00901,0.00901,0.00901
12,5609.09,1.10859,0.57742,0.80877,0.89117,0.69011,0.77996,0.52642,0.95742,0.4863,0.79813,0.008911,0.008911,0.008911
13,6067.89,1.09813,0.56779,0.8086,0.90577,0.68278,0.78242,0.53499,0.94081,0.47484,0.7957,0.008812,0.008812,0.008812
14,6541.53,1.0865,0.5621,0.80671,0.88967,0.68437,0.77677,0.53134,0.93407,0.47488,0.79594,0.008713,0.008713,0.008713
15,6956.84,1.07933,0.55794,0.80554,0.8962,0.69033,0.78499,0.53987,0.92526,0.46707,0.79475,0.008614,0.008614,0.008614
16,7295.78,1.07052,0.55448,0.80579,0.90118,0.68737,0.79079,0.54547,0.91789,0.46226,0.79387,0.008515,0.008515,0.008515
17,7630.36,1.06278,0.55037,0.80472,0.90249,0.68805,0.78833,0.5457,0.90878,0.45737,0.79269,0.008416,0.008416,0.008416
18,7986.03,1.05223,0.54192,0.80369,0.90753,0.69131,0.79467,0.55362,0.89749,0.45034,0.79274,0.008317,0.008317,0.008317
19,8324.84,1.04757,0.54071,0.80268,0.90319,0.69176,0.79212,0.55345,0.89078,0.44813,0.79171,0.008218,0.008218,0.008218
20,8675.98,1.03854,0.53474,0.80283,0.90745,0.69496,0.79532,0.55594,0.88357,0.44197,0.79099,0.008119,0.008119,0.008119
21,9017.31,1.03649,0.53089,0.80268,0.90411,0.69332,0.79652,0.55717,0.88019,0.43792,0.79045,0.00802,0.00802,0.00802
22,9366.19,1.03198,0.52938,0.80122,0.90365,0.69295,0.79387,0.55746,0.87507,0.43622,0.79006,0.007921,0.007921,0.007921
23,9703.84,1.02788,0.5287,0.8017,0.9031,0.69609,0.79758,0.56056,0.87196,0.43338,0.78986,0.007822,0.007822,0.007822
24,10047.4,1.02417,0.52426,0.80059,0.90484,0.69646,0.79944,0.56434,0.86803,0.43076,0.78908,0.007723,0.007723,0.007723
25,10397.4,1.01714,0.52221,0.79916,0.90456,0.69808,0.80105,0.56771,0.8637,0.42892,0.78866,0.007624,0.007624,0.007624
26,10737.4,1.01535,0.51845,0.79859,0.90883,0.69626,0.801,0.56654,0.8634,0.4283,0.78864,0.007525,0.007525,0.007525
27,11084.1,1.00388,0.51309,0.79987,0.90729,0.69807,0.80123,0.5683,0.86138,0.42509,0.78834,0.007426,0.007426,0.007426
28,11426.5,1.00382,0.51201,0.79915,0.90586,0.7003,0.80237,0.5695,0.8574,0.42294,0.78794,0.007327,0.007327,0.007327
29,11777.8,0.99912,0.50754,0.79669,0.9058,0.70018,0.80286,0.57097,0.85452,0.42139,0.7875,0.007228,0.007228,0.007228
30,12116.6,0.99272,0.50527,0.79864,0.90694,0.69994,0.80298,0.57097,0.85218,0.41939,0.78732,0.007129,0.007129,0.007129
31,12464.8,0.99015,0.50117,0.79776,0.90559,0.70087,0.80415,0.57209,0.85075,0.41831,0.78709,0.00703,0.00703,0.00703
32,12799.6,0.98625,0.50034,0.79827,0.90825,0.69803,0.80338,0.57269,0.84744,0.41717,0.78694,0.006931,0.006931,0.006931
33,13170,0.9834,0.50016,0.79771,0.90807,0.69853,0.80396,0.573,0.84479,0.41603,0.78678,0.006832,0.006832,0.006832
34,13504.7,0.9795,0.49539,0.79691,0.9054,0.69949,0.80412,0.57376,0.84283,0.41533,0.7865,0.006733,0.006733,0.006733
35,13854.7,0.98204,0.4965,0.79619,0.90628,0.69944,0.80449,0.57457,0.84087,0.41389,0.78637,0.006634,0.006634,0.006634
36,14189.4,0.97432,0.49314,0.79566,0.9049,0.70092,0.80512,0.57508,0.83951,0.41296,0.78618,0.006535,0.006535,0.006535
37,14538.6,0.97137,0.49509,0.79635,0.9046,0.70077,0.80513,0.57598,0.83796,0.41221,0.78603,0.006436,0.006436,0.006436
38,14877.3,0.97236,0.48821,0.79659,0.90526,0.70079,0.80553,0.57614,0.83704,0.41137,0.78589,0.006337,0.006337,0.006337
39,15226.9,0.97106,0.48929,0.79561,0.90569,0.70136,0.80626,0.57676,0.83631,0.41064,0.78586,0.006238,0.006238,0.006238
40,15573,0.96555,0.48851,0.796,0.90519,0.70149,0.80637,0.57706,0.83491,0.41045,0.78571,0.006139,0.006139,0.006139
41,15918.8,0.96451,0.48547,0.79538,0.90687,0.701,0.80661,0.57709,0.83448,0.40987,0.78567,0.00604,0.00604,0.00604
42,16267.2,0.96098,0.48312,0.79486,0.9054,0.70157,0.80674,0.57759,0.83379,0.40937,0.78562,0.005941,0.005941,0.005941
43,16609.6,0.95838,0.48199,0.79435,0.90638,0.70108,0.80699,0.57786,0.83292,0.40871,0.78551,0.005842,0.005842,0.005842
44,16961,0.95488,0.48064,0.79355,0.90588,0.70145,0.80706,0.57818,0.83203,0.40804,0.78548,0.005743,0.005743,0.005743
45,17300.7,0.94628,0.47745,0.79399,0.90691,0.701,0.80715,0.57847,0.83181,0.40797,0.78543,0.005644,0.005644,0.005644
46,17651.7,0.95324,0.47928,0.7938,0.90719,0.70085,0.80727,0.57867,0.83107,0.40751,0.78537,0.005545,0.005545,0.005545
47,17990.5,0.94596,0.47858,0.79352,0.907,0.70108,0.80751,0.57911,0.83081,0.40714,0.78527,0.005446,0.005446,0.005446
48,18339.3,0.9469,0.47657,0.79417,0.90706,0.7009,0.80755,0.5792,0.8303,0.40662,0.78521,0.005347,0.005347,0.005347
49,18676.6,0.94057,0.47174,0.79279,0.90666,0.70136,0.80804,0.57971,0.82954,0.40613,0.78516,0.005248,0.005248,0.005248
50,19029.1,0.93928,0.46997,0.79214,0.90566,0.70226,0.80816,0.58032,0.82852,0.40551,0.78513,0.005149,0.005149,0.005149
51,19367.1,0.93665,0.46956,0.79306,0.90527,0.70275,0.80825,0.58021,0.82839,0.40524,0.78504,0.00505,0.00505,0.00505
52,19718.7,0.93413,0.4672,0.79245,0.90519,0.70312,0.80846,0.58041,0.82831,0.40514,0.78495,0.004951,0.004951,0.004951
53,20060.5,0.93422,0.46644,0.79274,0.90654,0.70258,0.80887,0.58104,0.82742,0.40477,0.78487,0.004852,0.004852,0.004852
54,20409.1,0.93449,0.46621,0.79165,0.90714,0.70267,0.80908,0.5815,0.82694,0.40436,0.78481,0.004753,0.004753,0.004753
55,20755.3,0.93001,0.46596,0.7918,0.90646,0.70347,0.8096,0.58181,0.82652,0.4041,0.78472,0.004654,0.004654,0.004654
56,21101.9,0.92753,0.46305,0.79203,0.90568,0.70422,0.8098,0.58173,0.82636,0.40392,0.78465,0.004555,0.004555,0.004555
57,21452.6,0.92128,0.45661,0.79193,0.90595,0.70418,0.80995,0.58225,0.82605,0.40323,0.78456,0.004456,0.004456,0.004456
58,21792,0.92316,0.46047,0.79107,0.90558,0.70488,0.81028,0.58264,0.82535,0.40294,0.78443,0.004357,0.004357,0.004357
59,22146.1,0.91787,0.45604,0.79117,0.9062,0.70492,0.81071,0.58293,0.8249,0.4028,0.78429,0.004258,0.004258,0.004258
60,22484.3,0.9163,0.45456,0.79096,0.90636,0.70506,0.811,0.58367,0.82379,0.40229,0.78421,0.004159,0.004159,0.004159
61,22837.9,0.91491,0.45522,0.7907,0.90639,0.70582,0.81122,0.58361,0.82367,0.40182,0.78415,0.00406,0.00406,0.00406
62,23178.8,0.91006,0.45131,0.79111,0.90636,0.70602,0.81138,0.58418,0.82329,0.4015,0.78409,0.003961,0.003961,0.003961
63,23529,0.90772,0.4502,0.79037,0.90632,0.70591,0.81171,0.5846,0.82267,0.4011,0.78402,0.003862,0.003862,0.003862
64,23855.4,0.90998,0.45128,0.7904,0.90739,0.70566,0.81218,0.58517,0.82182,0.40018,0.78391,0.003763,0.003763,0.003763
65,24127.3,0.90462,0.44629,0.79005,0.90757,0.70574,0.81225,0.58556,0.821,0.39956,0.78383,0.003664,0.003664,0.003664
66,24387.6,0.89987,0.44497,0.78944,0.90805,0.70558,0.81259,0.58616,0.82078,0.39942,0.78375,0.003565,0.003565,0.003565
67,24659.3,0.90082,0.44591,0.791,0.90765,0.70628,0.81301,0.58674,0.81931,0.39872,0.78366,0.003466,0.003466,0.003466
68,24928.4,0.8982,0.44176,0.79017,0.90746,0.70672,0.81337,0.58799,0.81744,0.39796,0.78355,0.003367,0.003367,0.003367
69,25194.4,0.89921,0.44462,0.78836,0.9084,0.70668,0.814,0.58905,0.81594,0.39718,0.78349,0.003268,0.003268,0.003268
70,25461.9,0.89317,0.44032,0.78794,0.90744,0.70725,0.81439,0.58949,0.81519,0.39619,0.78344,0.003169,0.003169,0.003169
71,25731.6,0.8929,0.43955,0.78906,0.90848,0.70712,0.81473,0.59014,0.81462,0.39574,0.78339,0.00307,0.00307,0.00307
72,25998.4,0.88913,0.43591,0.78812,0.90847,0.70741,0.815,0.59085,0.81337,0.39505,0.78333,0.002971,0.002971,0.002971
73,26266,0.88697,0.43489,0.78846,0.909,0.70719,0.81535,0.59133,0.81283,0.39444,0.78329,0.002872,0.002872,0.002872
74,26533.3,0.88699,0.43397,0.78806,0.90948,0.70741,0.81589,0.59197,0.81216,0.39391,0.78319,0.002773,0.002773,0.002773
75,26803.8,0.88356,0.43279,0.78766,0.91097,0.70692,0.81598,0.59229,0.81156,0.39325,0.7831,0.002674,0.002674,0.002674
76,27071,0.88142,0.43124,0.78673,0.91021,0.70749,0.81639,0.59271,0.81146,0.39271,0.78304,0.002575,0.002575,0.002575
77,27341.9,0.8791,0.42981,0.78694,0.91105,0.70733,0.81664,0.59314,0.81084,0.39221,0.78294,0.002476,0.002476,0.002476
78,27609.8,0.8755,0.42851,0.78642,0.91162,0.70749,0.81699,0.59368,0.81045,0.39187,0.78284,0.002377,0.002377,0.002377
79,27879.7,0.87438,0.42471,0.78695,0.9112,0.70802,0.81723,0.5943,0.80975,0.39098,0.78274,0.002278,0.002278,0.002278
80,28151.4,0.86958,0.42244,0.78602,0.91188,0.70729,0.8173,0.5949,0.80921,0.39046,0.78266,0.002179,0.002179,0.002179
81,28420.9,0.86585,0.4212,0.78644,0.9121,0.70795,0.81782,0.5954,0.80896,0.3899,0.78258,0.00208,0.00208,0.00208
82,28688.2,0.86127,0.41905,0.78525,0.91335,0.70746,0.81807,0.59562,0.80844,0.38965,0.78247,0.001981,0.001981,0.001981
83,28948.3,0.86134,0.41919,0.78577,0.91219,0.7083,0.81851,0.59627,0.80751,0.38904,0.7824,0.001882,0.001882,0.001882
84,29211.3,0.86177,0.41682,0.78561,0.91334,0.70782,0.81848,0.5972,0.80621,0.38883,0.78233,0.001783,0.001783,0.001783
85,29470.6,0.85606,0.41391,0.78631,0.91264,0.70806,0.81879,0.59755,0.80527,0.3882,0.78225,0.001684,0.001684,0.001684
86,29733.5,0.84988,0.41139,0.78586,0.91288,0.70839,0.81896,0.59803,0.80478,0.38759,0.78218,0.001585,0.001585,0.001585
87,29994.4,0.8493,0.41116,0.78516,0.91264,0.70851,0.81926,0.59856,0.80371,0.38707,0.7821,0.001486,0.001486,0.001486
88,30252.2,0.84949,0.40876,0.78483,0.91208,0.70899,0.81976,0.59934,0.80309,0.3863,0.78201,0.001387,0.001387,0.001387
89,30483.9,0.84637,0.40586,0.78449,0.91235,0.70891,0.81996,0.59975,0.80236,0.38559,0.78192,0.001288,0.001288,0.001288
90,30721.2,0.8448,0.4047,0.78409,0.91291,0.70896,0.82037,0.60046,0.8015,0.38487,0.78188,0.001189,0.001189,0.001189
91,30981.5,0.81906,0.39403,0.78396,0.91267,0.70916,0.8207,0.60105,0.80129,0.38438,0.7818,0.00109,0.00109,0.00109
92,31211.6,0.81483,0.39181,0.78629,0.91296,0.70904,0.82129,0.60162,0.80093,0.38417,0.78175,0.000991,0.000991,0.000991
93,31440.7,0.80743,0.38788,0.78368,0.91404,0.70892,0.82167,0.60218,0.80057,0.38366,0.78164,0.000892,0.000892,0.000892
94,31686.1,0.80641,0.38375,0.78506,0.91463,0.70949,0.82239,0.60311,0.80007,0.38344,0.78155,0.000793,0.000793,0.000793
95,31924.5,0.79986,0.38096,0.78443,0.91518,0.70965,0.82271,0.60344,0.79997,0.38306,0.78148,0.000694,0.000694,0.000694
