epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.967,1.83562,2.93012,0.93754,0.78305,0.54527,0.60605,0.32209,1.45633,0.85691,0.83818,0.00333141,0.00333141,0.00333141
2,551.503,1.59084,0.98486,0.86043,0.81006,0.5797,0.64286,0.34933,1.46949,0.80472,0.84234,0.00659876,0.00659876,0.00659876
3,803.824,1.57876,0.90866,0.86057,0.77258,0.57954,0.62037,0.34841,1.39527,0.84623,0.83678,0.00980012,0.00980012,0.00980012
4,1062.96,1.50202,0.8636,0.85526,0.84369,0.60112,0.67772,0.3957,1.26671,0.70387,0.82463,0.009703,0.009703,0.009703
5,1338.09,1.39196,0.77251,0.8413,0.84461,0.61733,0.70026,0.43275,1.17902,0.64601,0.81844,0.009604,0.009604,0.009604
6,1603.03,1.31912,0.72986,0.83278,0.86777,0.63355,0.71998,0.44696,1.12974,0.59832,0.81393,0.009505,0.009505,0.009505
7,1869.17,1.27389,0.69408,0.82826,0.86448,0.64642,0.73,0.46145,1.10581,0.59127,0.80977,0.009406,0.009406,0.009406
8,2135.82,1.24598,0.67561,0.82458,0.8826,0.64312,0.73509,0.47639,1.05345,0.54597,0.80777,0.009307,0.009307,0.009307
9,2414.75,1.22063,0.65933,0.82255,0.87872,0.66117,0.74339,0.48408,1.03439,0.54857,0.80515,0.009208,0.009208,0.009208
10,2674.53,1.20251,0.64373,0.82005,0.89651,0.66133,0.75019,0.49083,1.02276,0.52558,0.80404,0.009109,0.009109,0.009109
11,2938.6,1.18161,0.63276,0.81759,0.88964,0.66942,0.75601,0.50104,1.00035,0.52189,0.80151,0.00901,0.00901,0.00901
12,3211.15,1.16559,0.62525,0.81526,0.89755,0.66752,0.76013,0.50595,0.98811,0.50906,0.80052,0.008911,0.008911,0.008911
13,3480.55,1.15262,0.61544,0.81496,0.8912,0.67432,0.76677,0.51817,0.97034,0.49896,0.79814,0.008812,0.008812,0.008812
14,3745.62,1.13889,0.60334,0.81268,0.89033,0.68122,0.76817,0.51707,0.96169,0.49516,0.79707,0.008713,0.008713,0.008713
15,4001.9,1.13547,0.60022,0.81215,0.89314,0.678,0.76878,0.52114,0.9498,0.48367,0.79596,0.008614,0.008614,0.008614
16,4288.16,1.11639,0.59028,0.81027,0.89661,0.68126,0.77633,0.52886,0.94295,0.48136,0.79496,0.008515,0.008515,0.008515
17,4552.8,1.111,0.58836,0.80882,0.90324,0.6792,0.77731,0.53049,0.93196,0.47346,0.79425,0.008416,0.008416,0.008416
18,4814.61,1.10738,0.58201,0.81006,0.89768,0.68343,0.77871,0.53323,0.92893,0.47019,0.79369,0.008317,0.008317,0.008317
19,5083.64,1.10026,0.57807,0.80885,0.89625,0.6861,0.77896,0.53383,0.92606,0.46579,0.79324,0.008218,0.008218,0.008218
20,5340.72,1.08541,0.57131,0.80665,0.9019,0.68396,0.7826,0.53849,0.91877,0.46112,0.79323,0.008119,0.008119,0.008119
21,5595.45,1.08736,0.56798,0.80732,0.90205,0.68547,0.7838,0.54049,0.91588,0.45783,0.79233,0.00802,0.00802,0.00802
22,5844.88,1.07818,0.5637,0.80604,0.90261,0.68722,0.78226,0.54139,0.90637,0.45383,0.79166,0.007921,0.007921,0.007921
23,6104.31,1.07583,0.56314,0.80699,0.89917,0.68676,0.78247,0.54176,0.90163,0.45038,0.79105,0.007822,0.007822,0.007822
24,6380.47,1.0757,0.55987,0.8053,0.89793,0.69042,0.78533,0.54382,0.89501,0.44776,0.7908,0.007723,0.007723,0.007723
25,6657.49,1.06819,0.55605,0.80443,0.90154,0.68817,0.78603,0.5448,0.89181,0.44467,0.79004,0.007624,0.007624,0.007624
26,6922.9,1.05955,0.55193,0.80298,0.90567,0.68796,0.78685,0.54697,0.888,0.44302,0.78948,0.007525,0.007525,0.007525
27,7191.7,1.05028,0.54535,0.80477,0.90931,0.68739,0.78784,0.5493,0.8842,0.44012,0.78932,0.007426,0.007426,0.007426
28,7455.23,1.0514,0.54813,0.80313,0.9073,0.69012,0.78882,0.5503,0.88098,0.43801,0.78909,0.007327,0.007327,0.007327
29,7720,1.04299,0.54458,0.80125,0.90985,0.68935,0.7903,0.5525,0.87641,0.43548,0.78873,0.007228,0.007228,0.007228
30,7980.45,1.04199,0.54353,0.80286,0.9062,0.69054,0.79177,0.55299,0.87632,0.43405,0.78854,0.007129,0.007129,0.007129
31,8245.89,1.03168,0.53317,0.80147,0.90619,0.69127,0.79255,0.55455,0.87463,0.43276,0.78842,0.00703,0.00703,0.00703
32,8524.96,1.03809,0.53732,0.80307,0.9082,0.69062,0.79279,0.55552,0.87188,0.43121,0.78826,0.006931,0.006931,0.006931
33,8813.79,1.02708,0.53369,0.80129,0.90823,0.69053,0.79322,0.55571,0.87107,0.43085,0.78797,0.006832,0.006832,0.006832
34,9082.2,1.03184,0.53255,0.8015,0.91039,0.69091,0.79379,0.55652,0.86926,0.4297,0.78779,0.006733,0.006733,0.006733
35,9353.94,1.02394,0.53102,0.80012,0.90901,0.6922,0.79411,0.55768,0.86641,0.42851,0.7876,0.006634,0.006634,0.006634
36,9605.13,1.02214,0.5268,0.80092,0.9089,0.69332,0.7951,0.5589,0.86452,0.42801,0.78743,0.006535,0.006535,0.006535
37,9869.36,1.02119,0.52754,0.80141,0.90832,0.69287,0.79464,0.55856,0.86381,0.42708,0.7873,0.006436,0.006436,0.006436
38,10120.4,1.01923,0.52657,0.80017,0.90726,0.69299,0.79518,0.55965,0.86256,0.42653,0.78721,0.006337,0.006337,0.006337
39,10381.8,1.01411,0.51983,0.80019,0.90869,0.69315,0.79562,0.56056,0.86133,0.42583,0.7871,0.006238,0.006238,0.006238
40,10681.4,1.01069,0.51917,0.79975,0.90941,0.69303,0.79596,0.56131,0.86005,0.42541,0.78696,0.006139,0.006139,0.006139
41,10964.9,1.00999,0.51967,0.80026,0.90748,0.69401,0.79644,0.5619,0.85849,0.42447,0.78692,0.00604,0.00604,0.00604
42,11268.7,1.00531,0.51595,0.7993,0.90597,0.69552,0.79664,0.56259,0.85769,0.42387,0.78681,0.005941,0.005941,0.005941
43,11537.6,1.00139,0.5146,0.79906,0.90748,0.69481,0.79725,0.56275,0.85734,0.42351,0.78668,0.005842,0.005842,0.005842
