epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.426,1.70078,2.79259,0.95181,0.81907,0.63926,0.70203,0.40689,1.30886,0.89098,0.84972,0.0033305,0.0033305,0.0033305
2,491.168,1.47765,1.00982,0.86975,0.86327,0.66486,0.74946,0.44708,1.27921,0.76558,0.85625,0.00659786,0.00659786,0.00659786
3,725.789,1.49226,0.90523,0.87733,0.82203,0.65651,0.72279,0.43449,1.27378,0.78036,0.85684,0.00979922,0.00979922,0.00979922
4,954.849,1.4248,0.85538,0.87151,0.88077,0.6924,0.76353,0.48693,1.14398,0.69537,0.83807,0.009703,0.009703,0.009703
5,1188.18,1.32398,0.77233,0.85696,0.88811,0.70139,0.78611,0.51141,1.12523,0.65218,0.83744,0.009604,0.009604,0.009604
6,1438.07,1.25976,0.72122,0.84823,0.89864,0.72682,0.80421,0.52187,1.09532,0.60033,0.8319,0.009505,0.009505,0.009505
7,1764.53,1.22225,0.69121,0.84186,0.90512,0.73898,0.81659,0.5477,1.02397,0.57111,0.82265,0.009406,0.009406,0.009406
8,2068.39,1.17826,0.66251,0.83838,0.89337,0.7372,0.80825,0.54242,1.02916,0.56535,0.82273,0.009307,0.009307,0.009307
9,2360.26,1.15865,0.65283,0.83587,0.90107,0.74821,0.82196,0.55902,0.99107,0.54683,0.81934,0.009208,0.009208,0.009208
10,2691.18,1.13883,0.6327,0.83289,0.89608,0.753,0.82134,0.56678,0.95112,0.52389,0.81535,0.009109,0.009109,0.009109
11,3003.39,1.12824,0.62598,0.83063,0.91464,0.75907,0.83306,0.57075,0.95003,0.51533,0.81584,0.00901,0.00901,0.00901
12,3302.07,1.10524,0.60862,0.82912,0.90989,0.75105,0.82924,0.57112,0.96131,0.51098,0.81542,0.008911,0.008911,0.008911
13,3637.98,1.0887,0.60169,0.82599,0.90463,0.76078,0.82663,0.56612,0.93894,0.50716,0.81548,0.008812,0.008812,0.008812
14,3948.25,1.08673,0.59215,0.82614,0.91563,0.75614,0.83421,0.57922,0.9301,0.49511,0.81207,0.008713,0.008713,0.008713
15,4250.03,1.07813,0.58825,0.82555,0.91956,0.75818,0.83776,0.58202,0.91959,0.48103,0.81148,0.008614,0.008614,0.008614
16,4581.72,1.06894,0.579,0.82216,0.91521,0.77211,0.84895,0.58905,0.91775,0.47882,0.81075,0.008515,0.008515,0.008515
17,4895.64,1.06061,0.57531,0.823,0.92288,0.76888,0.8414,0.59208,0.89925,0.46456,0.80968,0.008416,0.008416,0.008416
18,5197.53,1.04595,0.56652,0.82255,0.92659,0.77195,0.85086,0.59909,0.90185,0.46302,0.80791,0.008317,0.008317,0.008317
19,5520.01,1.0444,0.56184,0.821,0.93154,0.7705,0.84858,0.60128,0.89021,0.45905,0.80809,0.008218,0.008218,0.008218
20,5839.96,1.04115,0.55693,0.82014,0.92268,0.77811,0.85369,0.60104,0.89602,0.45567,0.80745,0.008119,0.008119,0.008119
21,6143.44,1.02691,0.55351,0.81941,0.92595,0.77598,0.853,0.60521,0.87072,0.44646,0.80484,0.00802,0.00802,0.00802
22,6454.64,1.02234,0.54904,0.81677,0.92689,0.78054,0.85769,0.60903,0.86945,0.44842,0.80432,0.007921,0.007921,0.007921
23,6772.25,1.02428,0.54961,0.81668,0.92678,0.77929,0.85526,0.6104,0.8739,0.44677,0.80485,0.007822,0.007822,0.007822
24,7076.79,1.01214,0.54404,0.81629,0.92338,0.78257,0.85615,0.61498,0.85747,0.44036,0.80369,0.007723,0.007723,0.007723
25,7388.49,1.01121,0.54043,0.81689,0.92331,0.78812,0.8607,0.61938,0.84882,0.43821,0.80263,0.007624,0.007624,0.007624
26,7704.55,1.00655,0.53459,0.81454,0.92536,0.7864,0.86182,0.61793,0.85265,0.43259,0.80254,0.007525,0.007525,0.007525
27,8006.11,1.00072,0.53456,0.81459,0.92313,0.79164,0.86299,0.61998,0.84938,0.43029,0.80177,0.007426,0.007426,0.007426
28,8307.74,0.99772,0.52857,0.81471,0.92733,0.7908,0.86447,0.62487,0.84203,0.42504,0.80085,0.007327,0.007327,0.007327
29,8547.41,0.99033,0.52773,0.81402,0.92997,0.78775,0.86301,0.62424,0.83636,0.42382,0.80059,0.007228,0.007228,0.007228
