epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.682,1.70912,2.82919,0.95353,0.7823,0.61831,0.67277,0.3825,1.37937,0.9249,0.85878,0.0033305,0.0033305,0.0033305
2,495.178,1.48564,1.02167,0.87133,0.8406,0.66291,0.73289,0.42532,1.33261,0.80932,0.86317,0.00659786,0.00659786,0.00659786
3,719.182,1.49605,0.91763,0.87838,0.77672,0.54828,0.6239,0.38629,1.30594,1.03665,0.86242,0.00979922,0.00979922,0.00979922
4,960.585,1.43567,0.87201,0.87291,0.86819,0.67928,0.74653,0.47121,1.2031,0.75994,0.84339,0.009703,0.009703,0.009703
5,1191.52,1.33135,0.78015,0.85901,0.90289,0.70047,0.77889,0.49681,1.12714,0.65914,0.83631,0.009604,0.009604,0.009604
6,1425.12,1.26588,0.72694,0.84906,0.90674,0.7254,0.8072,0.52424,1.08249,0.60745,0.83134,0.009505,0.009505,0.009505
7,1661.3,1.22859,0.70149,0.84381,0.89392,0.73248,0.8023,0.53248,1.03087,0.57489,0.82391,0.009406,0.009406,0.009406
8,1893.78,1.18706,0.66937,0.8398,0.89659,0.73892,0.81106,0.54539,1.01377,0.55693,0.82288,0.009307,0.009307,0.009307
9,2125.79,1.1581,0.65452,0.83728,0.90139,0.73385,0.81163,0.54374,1.02743,0.55333,0.82311,0.009208,0.009208,0.009208
10,2355.96,1.14086,0.63521,0.83476,0.89884,0.74587,0.81971,0.55729,0.98119,0.53115,0.81972,0.009109,0.009109,0.009109
11,2595.77,1.13044,0.62694,0.83157,0.91637,0.75259,0.83242,0.56874,0.96229,0.51918,0.81629,0.00901,0.00901,0.00901
12,2826.17,1.1066,0.61205,0.83028,0.91677,0.74984,0.83621,0.57769,0.95725,0.50513,0.81741,0.008911,0.008911,0.008911
13,3052.6,1.08893,0.60175,0.82754,0.90221,0.7598,0.83103,0.57295,0.93927,0.5006,0.81546,0.008812,0.008812,0.008812
14,3290.72,1.08821,0.59492,0.82677,0.89759,0.76944,0.83879,0.581,0.91898,0.48745,0.81112,0.008713,0.008713,0.008713
15,3523.62,1.0781,0.58967,0.82622,0.91096,0.76081,0.83133,0.57679,0.93085,0.4835,0.81305,0.008614,0.008614,0.008614
16,3749.24,1.07152,0.58318,0.82297,0.91944,0.76929,0.84357,0.58166,0.91999,0.47786,0.81095,0.008515,0.008515,0.008515
17,3978.13,1.06701,0.57998,0.82465,0.92162,0.76489,0.84687,0.59116,0.90264,0.46736,0.81002,0.008416,0.008416,0.008416
18,4207.27,1.04926,0.5656,0.82406,0.92823,0.77106,0.85024,0.60033,0.89698,0.46477,0.80693,0.008317,0.008317,0.008317
19,4432.49,1.04826,0.56708,0.82162,0.92135,0.76872,0.84953,0.60647,0.88475,0.45443,0.80694,0.008218,0.008218,0.008218
20,4655.95,1.04012,0.55694,0.82138,0.91988,0.77475,0.84985,0.60168,0.88475,0.45541,0.80746,0.008119,0.008119,0.008119
21,4886.83,1.03087,0.55364,0.82043,0.92099,0.77246,0.84884,0.60359,0.87236,0.44793,0.80619,0.00802,0.00802,0.00802
22,5115.8,1.02544,0.55063,0.81852,0.91681,0.77671,0.8547,0.6099,0.87275,0.44474,0.80555,0.007921,0.007921,0.007921
23,5339.51,1.02741,0.55062,0.81852,0.91819,0.77633,0.85296,0.60706,0.87318,0.44213,0.80543,0.007822,0.007822,0.007822
24,5578.66,1.01727,0.54441,0.81792,0.92299,0.77981,0.85657,0.61465,0.86191,0.43688,0.80435,0.007723,0.007723,0.007723
25,5807.7,1.01574,0.54154,0.81793,0.92718,0.77985,0.85973,0.61831,0.85533,0.43617,0.80386,0.007624,0.007624,0.007624
26,6031.55,1.0117,0.53804,0.8161,0.91527,0.78467,0.85962,0.61625,0.85848,0.43119,0.80428,0.007525,0.007525,0.007525
27,6271.36,1.00443,0.53292,0.8164,0.9254,0.78182,0.85961,0.61793,0.85059,0.43086,0.80289,0.007426,0.007426,0.007426
28,6502.69,0.99912,0.52902,0.81633,0.92142,0.78841,0.86419,0.62183,0.84449,0.42538,0.80218,0.007327,0.007327,0.007327
29,6734.61,0.99402,0.52827,0.81598,0.92491,0.78629,0.86114,0.62061,0.83982,0.42463,0.80167,0.007228,0.007228,0.007228
