epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.445,1.35296,2.05698,0.93215,0.64005,0.77321,0.598,0.3878,1.05109,1.0181,0.85722,0.00333121,0.00333121,0.00333121
2,599.651,1.21139,0.8056,0.87433,0.64479,0.77535,0.60932,0.39778,1.03517,1.03475,0.8548,0.00664255,0.00664255,0.00664255
3,877.219,1.22043,0.7542,0.87901,0.6359,0.7738,0.59412,0.38524,1.06559,1.08069,0.86256,0.00993189,0.00993189,0.00993189
4,1151.07,1.18692,0.72071,0.87472,0.62748,0.76908,0.60011,0.39665,1.04423,1.01016,0.85265,0.009901,0.009901,0.009901
5,1398.06,1.10688,0.65739,0.86126,0.65219,0.81471,0.63164,0.42298,0.96114,0.91214,0.83891,0.009868,0.009868,0.009868
6,1644.91,1.06447,0.62149,0.85429,0.65744,0.82264,0.63125,0.4293,0.9244,0.89759,0.83556,0.009835,0.009835,0.009835
7,1905.91,1.03853,0.59502,0.85033,0.66289,0.82569,0.64028,0.45147,0.89597,0.8532,0.8311,0.009802,0.009802,0.009802
8,2155.82,1.0166,0.58219,0.84825,0.65682,0.83757,0.64192,0.4549,0.88209,0.84735,0.82818,0.009769,0.009769,0.009769
9,2438.39,1.00176,0.56547,0.84215,0.66388,0.83441,0.64753,0.46456,0.85977,0.83435,0.82554,0.009736,0.009736,0.009736
10,2705.31,0.99353,0.55805,0.8422,0.65961,0.84234,0.64841,0.46401,0.85735,0.83644,0.82428,0.009703,0.009703,0.009703
11,2977.87,0.98159,0.54849,0.84112,0.66235,0.85075,0.65156,0.46923,0.84665,0.81255,0.82336,0.00967,0.00967,0.00967
12,3251.64,0.97262,0.5411,0.83875,0.65981,0.85148,0.65117,0.4751,0.82995,0.80763,0.82113,0.009637,0.009637,0.009637
13,3526.03,0.96273,0.53182,0.83664,0.66592,0.85345,0.65573,0.47823,0.8199,0.8086,0.81943,0.009604,0.009604,0.009604
14,3798.08,0.95481,0.52844,0.83578,0.66558,0.85029,0.6557,0.4805,0.81703,0.795,0.81848,0.009571,0.009571,0.009571
15,4038.8,0.95059,0.52418,0.83662,0.6635,0.85735,0.65693,0.47818,0.81662,0.79647,0.81808,0.009538,0.009538,0.009538
16,4304.75,0.94608,0.52085,0.8355,0.66794,0.85226,0.65523,0.47979,0.80248,0.79565,0.81584,0.009505,0.009505,0.009505
17,4592.07,0.94398,0.51746,0.83327,0.6667,0.85681,0.65788,0.48175,0.80069,0.79331,0.81572,0.009472,0.009472,0.009472
18,4857.53,0.94163,0.51878,0.83534,0.66747,0.85772,0.65751,0.48195,0.79925,0.78434,0.81544,0.009439,0.009439,0.009439
19,5104.8,0.93087,0.50742,0.83289,0.66481,0.85909,0.65769,0.48324,0.79564,0.78461,0.81447,0.009406,0.009406,0.009406
20,5370.51,0.93076,0.50686,0.83132,0.66818,0.85881,0.6593,0.48485,0.79147,0.77955,0.81433,0.009373,0.009373,0.009373
21,5620.52,0.9254,0.5046,0.83214,0.67112,0.85842,0.65884,0.48823,0.78226,0.77733,0.81283,0.00934,0.00934,0.00934
22,5884.62,0.92209,0.50176,0.83179,0.66757,0.86221,0.66068,0.48961,0.78191,0.7778,0.81234,0.009307,0.009307,0.009307
23,6162.04,0.91527,0.49767,0.83142,0.66929,0.86134,0.66097,0.49069,0.77766,0.78087,0.81201,0.009274,0.009274,0.009274
24,6422.97,0.915,0.49582,0.83187,0.67158,0.8599,0.66159,0.4925,0.77689,0.77412,0.81168,0.009241,0.009241,0.009241
25,6705.85,0.91638,0.49557,0.83145,0.67161,0.85828,0.66053,0.49169,0.7741,0.77189,0.81147,0.009208,0.009208,0.009208
26,6989.56,0.90681,0.48812,0.82975,0.67114,0.86312,0.66225,0.49461,0.77018,0.77096,0.81098,0.009175,0.009175,0.009175
27,7260.95,0.91167,0.49199,0.82859,0.67011,0.86547,0.66241,0.49382,0.76835,0.77252,0.81082,0.009142,0.009142,0.009142
28,7519.79,0.91083,0.48874,0.83055,0.67127,0.86175,0.66308,0.49447,0.76646,0.76758,0.81075,0.009109,0.009109,0.009109
29,7801.78,0.91069,0.48942,0.83102,0.66898,0.86666,0.66435,0.49567,0.76596,0.76669,0.81027,0.009076,0.009076,0.009076
30,8058.57,0.90734,0.48586,0.82989,0.66942,0.86638,0.66427,0.49596,0.76599,0.76643,0.8103,0.009043,0.009043,0.009043
31,8327.44,0.90257,0.48461,0.82829,0.66685,0.8701,0.66317,0.49611,0.7634,0.76709,0.81002,0.00901,0.00901,0.00901
32,8582.04,0.89893,0.48208,0.82749,0.66908,0.86652,0.663,0.49658,0.76155,0.76586,0.80976,0.008977,0.008977,0.008977
33,8871.34,0.89763,0.48215,0.82737,0.66915,0.86715,0.66357,0.497,0.76017,0.76566,0.8095,0.008944,0.008944,0.008944
34,9132.73,0.89438,0.48104,0.82683,0.6687,0.86829,0.66416,0.49773,0.75916,0.76537,0.80926,0.008911,0.008911,0.008911
35,9403.28,0.89475,0.47846,0.82751,0.66811,0.87048,0.66455,0.49858,0.75764,0.76535,0.80903,0.008878,0.008878,0.008878
36,9656.52,0.89334,0.47773,0.82715,0.6673,0.87284,0.66446,0.49897,0.75638,0.76467,0.80872,0.008845,0.008845,0.008845
37,9945.24,0.89136,0.47528,0.82595,0.66772,0.87238,0.66502,0.49954,0.75553,0.76444,0.80856,0.008812,0.008812,0.008812
38,10230.6,0.88545,0.47243,0.82565,0.66673,0.87318,0.66484,0.49946,0.75504,0.76463,0.80852,0.008779,0.008779,0.008779
39,10517.9,0.88987,0.47572,0.82501,0.66655,0.87374,0.66493,0.49955,0.75441,0.76415,0.80847,0.008746,0.008746,0.008746
40,10777.3,0.89402,0.47986,0.82769,0.66747,0.87291,0.66491,0.49942,0.75335,0.76294,0.80838,0.008713,0.008713,0.008713
41,11063.4,0.89256,0.47377,0.82781,0.66817,0.87165,0.6644,0.49953,0.75249,0.76243,0.8083,0.00868,0.00868,0.00868
42,11343,0.88896,0.47384,0.82589,0.66783,0.87336,0.6645,0.49967,0.75195,0.76221,0.80814,0.008647,0.008647,0.008647
43,11625.8,0.88726,0.4695,0.8265,0.66832,0.8728,0.66551,0.50039,0.7513,0.76231,0.80803,0.008614,0.008614,0.008614
44,11887.8,0.88306,0.46934,0.82673,0.66925,0.87171,0.6654,0.5003,0.75076,0.76194,0.80794,0.008581,0.008581,0.008581
45,12159.6,0.87937,0.47016,0.82578,0.66912,0.87224,0.66534,0.50063,0.75018,0.76178,0.80782,0.008548,0.008548,0.008548
46,12425,0.88545,0.4688,0.82529,0.67017,0.87083,0.66534,0.50071,0.74998,0.76075,0.80777,0.008515,0.008515,0.008515
47,12668.5,0.87989,0.46669,0.82548,0.67006,0.8709,0.66564,0.50098,0.74958,0.76074,0.80769,0.008482,0.008482,0.008482
48,12911.1,0.87929,0.46932,0.82491,0.67038,0.87111,0.66534,0.50069,0.7491,0.75989,0.80761,0.008449,0.008449,0.008449
