epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.208,1.65513,2.61707,0.9415,0.84769,0.67336,0.73422,0.4302,1.25981,0.83866,0.84788,0.0033305,0.0033305,0.0033305
2,391.968,1.43444,0.9403,0.86405,0.85399,0.67555,0.74996,0.43687,1.2754,0.78507,0.85398,0.00659786,0.00659786,0.00659786
3,583.522,1.43377,0.8384,0.86611,0.85341,0.66915,0.74148,0.45545,1.22996,0.74421,0.85002,0.00979922,0.00979922,0.00979922
4,772.472,1.37629,0.78626,0.86086,0.90018,0.71954,0.79494,0.50876,1.1422,0.65097,0.83625,0.009703,0.009703,0.009703
5,958.906,1.27115,0.70923,0.84779,0.87883,0.70366,0.78433,0.51045,1.11644,0.63334,0.83582,0.009604,0.009604,0.009604
6,1146.72,1.202,0.66513,0.83898,0.89965,0.72699,0.80341,0.52376,1.07833,0.61598,0.83012,0.009505,0.009505,0.009505
7,1334.09,1.1715,0.64302,0.83484,0.88564,0.75373,0.81578,0.55128,0.99143,0.56496,0.81815,0.009406,0.009406,0.009406
8,1521.33,1.13109,0.61647,0.83214,0.89774,0.74133,0.82409,0.55921,1.00862,0.54554,0.8211,0.009307,0.009307,0.009307
9,1710.75,1.10816,0.60513,0.82766,0.90068,0.75608,0.83909,0.58164,0.97209,0.51958,0.81969,0.009208,0.009208,0.009208
10,1893.43,1.09685,0.59059,0.82819,0.90972,0.7577,0.8367,0.57805,0.93322,0.50415,0.81485,0.009109,0.009109,0.009109
11,2082.18,1.08232,0.5829,0.82637,0.91259,0.77479,0.84984,0.59328,0.92497,0.49399,0.81202,0.00901,0.00901,0.00901
12,2266.9,1.0613,0.56866,0.82215,0.92104,0.76732,0.85212,0.59507,0.92673,0.49028,0.81192,0.008911,0.008911,0.008911
13,2456.29,1.04855,0.56497,0.82226,0.9117,0.77698,0.85407,0.59117,0.9176,0.48218,0.81098,0.008812,0.008812,0.008812
14,2638.01,1.04685,0.55396,0.81947,0.92391,0.77317,0.85774,0.60368,0.89251,0.47031,0.8081,0.008713,0.008713,0.008713
15,2828.02,1.03322,0.5495,0.8199,0.91872,0.77827,0.8567,0.60231,0.90122,0.46541,0.8088,0.008614,0.008614,0.008614
16,3015.44,1.03011,0.54116,0.81988,0.92499,0.78208,0.85586,0.60822,0.89102,0.46104,0.80833,0.008515,0.008515,0.008515
17,3199.56,1.0182,0.53919,0.81602,0.9236,0.78232,0.86083,0.61344,0.87823,0.45334,0.80623,0.008416,0.008416,0.008416
18,3383.88,1.00336,0.52673,0.81643,0.9293,0.7807,0.86515,0.61551,0.87586,0.44664,0.80544,0.008317,0.008317,0.008317
19,3566.25,1.00428,0.53042,0.81597,0.92966,0.78808,0.86722,0.62006,0.86427,0.44577,0.8052,0.008218,0.008218,0.008218
